symbol,sector,subsector,indicator,signal,pattern,pattern_conf,confidence,win_rate,win_rate_stock,win_rate_sector,stock_n,sector_n,avg_return,price,tp1_price,tp2_price,sl_price,date,tier,volume_confirmed
2096.HK,Unknown,Unknown,BB,BB 中軌向上（上升趨勢）,Bullish Engulfing,0.75,1.0,0.6327,,0.6327,0,49,0.0325,12.46,12.86,13.27,12.34,2026-07-13,1,False
1177.HK,Commerce & Industry,Commerce & Industry,BB,BB 中軌向上（上升趨勢）,None,0.0,0.51,0.8889,0.8889,0.4504,9,282,0.0359,5.19,5.38,5.56,5.14,2026-07-10,2,True
1797.HK,Unknown,Unknown,BB,BB 中軌向上（上升趨勢）,None,0.0,0.51,0.65,0.65,0.3565,20,446,0.1063,20.54,22.72,24.91,20.33,2026-07-13,2,True
2899.HK,Commerce & Industry,Commerce & Industry,RSI,RSI 維持強勢 (50-70),Morning Star,0.8,1.0,0.6667,0.6667,0.4815,6,54,0.0436,30.5,31.83,33.16,30.2,2026-07-14,3,False
2068.HK,Unknown,Unknown,KDJ,KDJ 超賣區金叉,None,0.0,0.5599999999999999,0.6667,0.6667,0.3027,6,294,0.0398,1.77,1.84,1.91,1.75,2026-07-14,3,False
2628.HK,Finance,Finance,KDJ,KDJ 金叉,None,0.0,0.5525,0.6667,0.6667,0.403,9,67,0.0399,28.62,29.76,30.9,28.33,2026-07-14,3,False
0857.HK,Commerce & Industry,Commerce & Industry,RSI,RSI 上穿 50 中性線,None,0.0,0.4675,0.6364,0.6364,0.3032,11,376,0.0229,9.57,9.79,10.01,9.47,2026-07-14,3,False
3968.HK,Finance,Finance,RSI,RSI 維持強勢 (50-70),None,0.0,0.51,0.625,0.625,0.3169,24,1016,1.7104,45.96,124.57,203.18,45.5,2026-07-14,3,False
1093.HK,Commerce & Industry,Commerce & Industry,RSI,RSI 維持強勢 (50-70),None,0.0,0.51,0.5875,0.5875,0.3356,80,3424,0.0389,8.11,8.43,8.74,8.03,2026-07-14,3,False
2600.HK,Unknown,Unknown,RSI,RSI 加速上升,None,0.0,0.5525,0.5152,0.5152,0.2784,66,3247,0.0202,8.23,8.4,8.56,8.15,2026-07-14,3,False
0386.HK,Commerce & Industry,Commerce & Industry,BB,價格在 BB 中軌上方,Morning Star,0.8,0.924,0.5091,,0.5091,0,55,0.0169,4.19,4.26,4.33,4.15,2026-07-14,3,False
0902.HK,Unknown,Unknown,RSI,RSI 加速上升,None,0.0,0.5525,0.5079,0.5079,0.2784,63,3247,0.0214,5.66,5.78,5.9,5.6,2026-07-14,3,False
1997.HK,Properties,Properties,RSI,RSI 動能加速（強勢區）,Consolidation Breakout,0.72,1.0,0.5,0.5,0.3125,6,32,0.0112,23.58,23.84,24.11,23.34,2026-07-14,3,False
9633.HK,Commerce & Industry,Commerce & Industry,RSI,RSI 上穿 50 中性線,None,0.0,0.4675,0.5,0.5,0.3032,6,376,0.0129,41.02,41.55,42.08,40.61,2026-07-13,3,False
1877.HK,Unknown,Unknown,BB,BB 中軌向上（上升趨勢）,None,0.0,0.51,0.4804,0.4804,0.3017,102,4558,0.0241,19.21,19.67,20.14,19.02,2026-07-14,3,False
0467.HK,Unknown,Unknown,BB,價格在 BB 中軌上方,None,0.0,0.425,0.4653,0.4653,0.2917,101,5738,0.0412,0.37,0.39,0.4,0.37,2026-07-10,3,False
0267.HK,Commerce & Industry,Commerce & Industry,RSI,RSI 加速上升,None,0.0,0.5525,0.4615,0.4615,0.2979,39,2269,0.0155,11.24,11.41,11.59,11.13,2026-07-14,3,False
0388.HK,Finance,Finance,RSI,RSI 上穿 50 中性線,None,0.0,0.4675,0.4615,0.4615,0.375,13,88,0.0117,385.0,389.5,394.01,381.15,2026-07-10,3,False
0027.HK,Commerce & Industry,Commerce & Industry,RSI,RSI 上穿 50 中性線,None,0.0,0.4675,0.4545,0.4545,0.3032,11,376,0.0152,31.48,31.96,32.44,31.17,2026-07-10,3,False
0992.HK,Commerce & Industry,Commerce & Industry,RSI,RSI 加速上升,None,0.0,0.5525,0.4512,0.4512,0.2979,82,2269,0.0152,23.16,23.51,23.86,22.93,2026-07-14,3,False
1378.HK,Commerce & Industry,Commerce & Industry,BB,價格在 BB 中軌上方,None,0.0,0.425,0.4503,0.4503,0.329,171,3918,0.0124,23.0,23.29,23.57,22.77,2026-07-14,3,False
0688.HK,Properties,Properties,MACD,MACD 金叉 (空頭區),None,0.0,0.42,0.4444,,0.4444,0,36,0.0111,12.91,13.05,13.2,12.78,2026-07-10,3,False
1288.HK,Unknown,Unknown,RSI,RSI 加速上升,None,0.0,0.5525,0.4396,0.4396,0.2784,91,3247,0.0149,5.54,5.62,5.71,5.48,2026-07-14,3,False
2269.HK,Commerce & Industry,Commerce & Industry,BB,BB 中軌向上（上升趨勢）,None,0.0,0.51,0.4375,0.4375,0.3474,80,3221,0.0038,38.2,38.35,38.49,37.82,2026-07-14,3,False
1929.HK,Commerce & Industry,Commerce & Industry,RSI,RSI 上穿 50 中性線,None,0.0,0.4675,0.4375,0.4375,0.3032,16,376,0.0039,11.6,11.65,11.69,11.48,2026-07-10,3,False
1088.HK,Commerce & Industry,Commerce & Industry,RSI,RSI 維持強勢 (50-70),None,0.0,0.51,0.4321,0.4321,0.3356,81,3424,0.0079,42.3,42.63,42.97,41.88,2026-07-14,3,False
0912.HK,Unknown,Unknown,RSI,RSI 動能加速（強勢區）,None,0.0,0.51,0.4162,,0.4162,0,173,0.0135,1.12,1.14,1.15,1.11,2026-07-10,3,True
1810.HK,Commerce & Industry,Commerce & Industry,RSI,RSI 加速上升,None,0.0,0.5525,0.4043,0.4043,0.2979,94,2269,0.0032,26.04,26.12,26.21,25.78,2026-07-14,3,False
0001.HK,Commerce & Industry,Commerce & Industry,RSI,RSI 動能加速（強勢區）,Consolidation Breakout,0.85,1.0,0.4,0.4,0.2093,5,86,0.0306,70.4,72.55,74.71,69.7,2026-07-14,3,False
1038.HK,Utilities,Utilities,KDJ,KDJ 金叉,None,0.0,0.5525,0.4,0.4,0.3001,10,713,0.0058,60.6,60.95,61.3,59.99,2026-07-10,3,False
0006.HK,Utilities,Utilities,RSI,RSI 上穿 50 中性線,None,0.0,0.4675,0.4,0.4,0.2521,10,932,0.0067,58.45,58.84,59.23,57.87,2026-07-10,3,False
1109.HK,Properties,Properties,RSI,RSI 上穿 50 中性線,None,0.0,0.4675,0.4,0.4,0.3519,5,108,0.0126,32.7,33.11,33.52,32.37,2026-07-13,3,False
1398.HK,Finance,Finance,RSI,RSI 上穿 50 中性線,None,0.0,0.4675,0.4,0.4,0.375,10,88,0.0089,6.83,6.89,6.95,6.76,2026-07-13,3,False
6618.HK,Commerce & Industry,Commerce & Industry,BB,價格在 BB 中軌上方,None,0.0,0.425,0.3966,0.3966,0.329,58,3918,0.0166,36.96,37.57,38.19,36.59,2026-07-14,3,False
2314.HK,Unknown,Unknown,BB,BB 中軌向上（上升趨勢）,None,0.0,0.51,0.3922,0.3922,0.3017,102,4558,0.0138,3.32,3.37,3.41,3.29,2026-07-14,3,False
0293.HK,Unknown,Unknown,BB,BB 中軌向上（上升趨勢）,None,0.0,0.51,0.3871,0.3871,0.3017,62,4558,-0.0018,13.21,13.19,13.16,13.08,2026-07-14,3,False
0083.HK,Unknown,Unknown,RSI,RSI 加速上升,None,0.0,0.5525,0.3855,0.3855,0.2784,83,3247,0.0122,10.45,10.58,10.7,10.35,2026-07-14,3,False
0939.HK,Finance,Finance,MACD,MACD 金叉 (空頭區),None,0.0,0.42,0.3846,,0.3846,0,26,0.0179,8.22,8.37,8.51,8.14,2026-07-13,3,False
2388.HK,Finance,Finance,MACD,MACD 金叉 (空頭區),None,0.0,0.42,0.3846,,0.3846,0,26,0.0179,46.44,47.27,48.1,45.98,2026-07-13,3,False
0241.HK,Commerce & Industry,Commerce & Industry,RSI,RSI 維持強勢 (50-70),None,0.0,0.51,0.3824,0.3824,0.3356,34,3424,0.0167,3.47,3.53,3.59,3.44,2026-07-10,3,False
0700.HK,Commerce & Industry,Commerce & Industry,BB,BB 中軌向上（上升趨勢）,None,0.0,0.51,0.375,0.375,0.3474,56,3221,0.0069,457.6,460.76,463.91,453.02,2026-07-13,3,False
0040.HK,Unknown,Unknown,RSI,RSI 上穿 50 中性線,None,0.0,0.4675,0.375,0.375,0.2643,16,594,0.0099,0.71,0.72,0.72,0.7,2026-07-10,3,False
1113.HK,Properties,Properties,RSI,RSI 上穿 50 中性線,None,0.0,0.4675,0.375,0.375,0.3519,8,108,0.0091,45.46,45.87,46.29,45.01,2026-07-10,3,False
1211.HK,Commerce & Industry,Commerce & Industry,RSI,RSI 維持強勢 (50-70),None,0.0,0.51,0.3735,0.3735,0.3356,83,3424,-0.0013,86.15,86.04,85.93,85.29,2026-07-14,3,False
1800.HK,Unknown,Unknown,RSI,RSI 超賣區域 (30),None,0.0,0.5249999999999999,0.3667,,0.3667,0,120,0.0059,3.67,3.69,3.71,3.63,2026-07-13,3,False
2038.HK,Unknown,Unknown,RSI,RSI 超賣區域 (30),None,0.0,0.5249999999999999,0.3667,,0.3667,0,120,0.0059,18.51,18.62,18.73,18.32,2026-07-10,3,False
0669.HK,Commerce & Industry,Commerce & Industry,BB,BB 中軌向上（上升趨勢）,None,0.0,0.51,0.3611,0.3611,0.3474,72,3221,0.011,125.5,126.88,128.26,124.25,2026-07-14,3,False
1999.HK,Unknown,Unknown,RSI,RSI 加速上升,None,0.0,0.5525,0.3585,0.3585,0.2784,53,3247,-0.0051,3.06,3.04,3.03,3.03,2026-07-14,3,False
0016.HK,Properties,Properties,BB,價格在 BB 中軌上方,None,0.0,0.425,0.3548,0.3548,0.2884,186,1158,0.0109,117.4,118.68,119.96,116.23,2026-07-14,3,False
0883.HK,Commerce & Industry,Commerce & Industry,BB,價格在 BB 中軌上方,None,0.0,0.425,0.3548,0.3548,0.329,155,3918,0.0022,22.8,22.85,22.9,22.57,2026-07-14,3,False
0823.HK,Properties,Properties,RSI,RSI 維持強勢 (50-70),None,0.0,0.51,0.339,0.339,0.2935,118,1029,-0.0019,37.98,37.91,37.84,37.6,2026-07-14,3,False
1299.HK,Finance,Finance,KDJ,KDJ 金叉,None,0.0,0.5525,0.3333,0.3333,0.403,6,67,0.0044,74.1,74.43,74.75,73.36,2026-07-14,3,False
2318.HK,Finance,Finance,BB,價格在 BB 中軌上方,None,0.0,0.425,0.3301,0.3301,0.3206,103,1123,0.0027,53.7,53.84,53.99,53.16,2026-07-14,3,False
0288.HK,Commerce & Industry,Commerce & Industry,KDJ,KDJ 金叉,None,0.0,0.5525,0.3295,,0.3295,0,437,0.0043,8.11,8.14,8.18,8.03,2026-07-14,3,False
2202.HK,Unknown,Unknown,BB,價格在 BB 中軌上方,None,0.0,0.425,0.3294,0.3294,0.2917,85,5738,-0.0154,2.34,2.3,2.27,2.32,2026-07-14,3,False
0101.HK,Properties,Properties,RSI,RSI 加速上升,None,0.0,0.5525,0.3276,0.3276,0.261,58,567,0.0071,7.25,7.3,7.35,7.18,2026-07-14,3,False
0012.HK,Properties,Properties,RSI,RSI 加速上升,None,0.0,0.5525,0.3243,0.3243,0.261,74,567,0.0089,25.7,25.93,26.16,25.44,2026-07-14,3,False
0570.HK,Unknown,Unknown,RSI,RSI 維持強勢 (50-70),None,0.0,0.51,0.3231,0.3231,0.2969,65,4897,-0.002,1.46,1.46,1.45,1.45,2026-07-13,3,False
9961.HK,Commerce & Industry,Commerce & Industry,RSI,RSI 維持強勢 (50-70),None,0.0,0.51,0.3226,0.3226,0.3356,62,3424,-0.0013,335.6,335.16,334.73,332.24,2026-07-14,3,False
0005.HK,Finance,Finance,BB,BB 中軌向上（上升趨勢）,None,0.0,0.51,0.3217,,0.3217,0,976,0.0474,152.6,159.83,167.07,151.07,2026-07-14,3,False
1000.HK,Unknown,Unknown,BB,BB 中軌向上（上升趨勢）,None,0.0,0.51,0.321,0.321,0.3017,81,4558,0.0094,0.5,0.5,0.51,0.49,2026-07-14,3,False
0999.HK,Unknown,Unknown,BB,BB 中軌向上（上升趨勢）,None,0.0,0.51,0.3167,0.3167,0.3017,60,4558,0.0004,6.98,6.98,6.99,6.91,2026-07-14,3,False
1024.HK,Commerce & Industry,Commerce & Industry,BB,價格在 BB 中軌上方,None,0.0,0.425,0.3137,0.3137,0.329,51,3918,-0.013,43.8,43.23,42.66,43.36,2026-07-14,3,False
2698.HK,Unknown,Unknown,BB,價格在 BB 中軌上方,None,0.0,0.425,0.3103,0.3103,0.2917,29,5738,0.008,26.4,26.61,26.82,26.14,2026-07-14,3,False
2382.HK,Commerce & Industry,Commerce & Industry,KDJ,KDJ 超賣區金叉,None,0.0,0.5599999999999999,0.3046,,0.3046,0,151,-0.001,55.9,55.84,55.79,55.34,2026-07-10,3,False
2018.HK,Unknown,Unknown,KDJ,KDJ 超賣區金叉,None,0.0,0.5599999999999999,0.3027,,0.3027,0,294,0.0015,38.0,38.06,38.11,37.62,2026-07-14,3,False
2020.HK,Commerce & Industry,Commerce & Industry,RSI,RSI 上穿 50 中性線,None,0.0,0.4675,0.3,0.3,0.3032,10,376,-0.0,72.95,72.95,72.95,72.22,2026-07-10,3,False
0175.HK,Commerce & Industry,Commerce & Industry,BB,價格在 BB 中軌上方,None,0.0,0.425,0.3,0.3,0.329,80,3918,0.0059,18.31,18.42,18.53,18.13,2026-07-14,3,False
0762.HK,Commerce & Industry,Commerce & Industry,MACD,MACD 金叉 (空頭區),None,0.0,0.42,0.2944,,0.2944,0,180,-0.0022,6.4,6.39,6.37,6.34,2026-07-10,3,False
1900.HK,Unknown,Unknown,RSI,RSI 加速上升,None,0.0,0.5525,0.2931,0.2931,0.2784,58,3247,0.0118,0.178,0.18,0.18,0.18,2026-07-14,3,False
2111.HK,Unknown,Unknown,RSI,RSI 加速上升,None,0.0,0.5525,0.2917,0.2917,0.2784,72,3247,0.0073,2.47,2.49,2.51,2.45,2026-07-13,3,False
2138.HK,Unknown,Unknown,KDJ,KDJ 金叉,None,0.0,0.5525,0.2911,,0.2911,0,79,-0.0009,0.39,0.39,0.39,0.39,2026-07-13,3,True
0066.HK,Commerce & Industry,Commerce & Industry,BB,價格在 BB 中軌上方,None,0.0,0.425,0.2836,0.2836,0.329,134,3918,0.0054,31.28,31.45,31.62,30.97,2026-07-14,3,False
3328.HK,Unknown,Unknown,BB,價格在 BB 中軌上方,None,0.0,0.425,0.2787,0.2787,0.2917,61,5738,0.0042,6.94,6.97,7.0,6.87,2026-07-14,3,False
2688.HK,Utilities,Utilities,BB,價格在 BB 中軌上方,None,0.0,0.425,0.2697,0.2697,0.246,89,9864,0.0071,41.6,41.9,42.19,41.18,2026-07-14,3,False
2611.HK,Unknown,Unknown,BB,BB 中軌向上（上升趨勢）,None,0.0,0.51,0.2692,0.2692,0.3017,52,4558,-0.0071,14.58,14.48,14.37,14.43,2026-07-14,3,False
1009.HK,Unknown,Unknown,BB,BB 中軌向上（上升趨勢）,None,0.0,0.51,0.2667,0.2667,0.3017,105,4558,-0.0152,1.48,1.46,1.44,1.47,2026-07-13,3,False
3988.HK,Finance,Finance,BB,價格在 BB 中軌上方,None,0.0,0.425,0.2599,0.2599,0.3206,177,1123,0.0016,5.07,5.08,5.09,5.02,2026-07-14,3,False
0868.HK,Commerce & Industry,Commerce & Industry,BB,價格在 BB 中軌上方,None,0.0,0.425,0.2588,0.2588,0.329,85,3918,-0.004,8.83,8.79,8.76,8.74,2026-07-14,3,False
1766.HK,Unknown,Unknown,RSI,RSI 加速上升,None,0.0,0.5525,0.2424,0.2424,0.2784,66,3247,-0.0019,4.57,4.56,4.55,4.52,2026-07-14,3,False
0960.HK,Properties,Properties,RSI,RSI 加速上升,None,0.0,0.5525,0.24,0.24,0.261,50,567,-0.0195,6.42,6.29,6.17,6.36,2026-07-14,3,False
2007.HK,Unknown,Unknown,BB,價格在 BB 中軌上方,None,0.0,0.425,0.2373,0.2373,0.2917,59,5738,-0.0023,0.188,0.19,0.19,0.19,2026-07-14,3,False
1044.HK,Commerce & Industry,Commerce & Industry,BB,價格在 BB 中軌上方,None,0.0,0.425,0.2349,0.2349,0.329,166,3918,0.0022,23.16,23.21,23.26,22.93,2026-07-14,3,False
0151.HK,Unknown,Unknown,RSI,RSI 加速上升,None,0.0,0.5525,0.2326,0.2326,0.2784,43,3247,-0.004,3.33,3.32,3.3,3.3,2026-07-10,3,False
3309.HK,Unknown,Unknown,BB,價格在 BB 中軌上方,None,0.0,0.425,0.2295,0.2295,0.2917,61,5738,-0.0081,0.93,0.92,0.91,0.92,2026-07-14,3,False
0738.HK,Unknown,Unknown,BB,BB 中軌向上（上升趨勢）,None,0.0,0.51,0.2209,0.2209,0.3017,86,4558,0.0021,0.285,0.29,0.29,0.28,2026-07-10,3,False
0318.HK,Unknown,Unknown,BB,價格在 BB 中軌上方,None,0.0,0.425,0.2131,0.2131,0.2917,122,5738,-0.0065,0.88,0.87,0.87,0.87,2026-07-14,3,False
2319.HK,Commerce & Industry,Commerce & Industry,BB,BB 中軌向上（上升趨勢）,None,0.0,0.51,0.2045,0.2045,0.3474,44,3221,-0.009,17.25,17.09,16.94,17.08,2026-07-14,3,False
1658.HK,Unknown,Unknown,MACD,MACD 金叉 (空頭區),None,0.0,0.42,0.2,0.2,0.2302,5,291,0.0094,4.75,4.79,4.84,4.7,2026-07-13,3,False
1876.HK,Commerce & Industry,Commerce & Industry,MACD,MACD 金叉 (空頭區),None,0.0,0.42,0.2,0.2,0.2944,5,180,-0.0126,6.25,6.17,6.09,6.19,2026-07-10,3,False
