symbol,sector,subsector,indicator,signal,pattern,pattern_conf,confidence,win_rate,win_rate_stock,win_rate_sector,stock_n,sector_n,avg_return,price,tp1_price,tp2_price,sl_price,date,tier,volume_confirmed
1877.HK,Commerce & Industry,Commerce & Industry,BB,BB 中軌向上（上升趨勢）,None,0.0,0.51,0.3474,,0.3474,0,3221,0.0048,19.4,19.49,19.59,19.21,2026-08-17,3,False
2018.HK,Commerce & Industry,Commerce & Industry,BB,BB 中軌向上（上升趨勢）,None,0.0,0.51,0.3474,,0.3474,0,3221,0.0048,41.66,41.86,42.06,41.24,2026-08-19,3,False
2038.HK,Commerce & Industry,Commerce & Industry,BB,BB 中軌向上（上升趨勢）,None,0.0,0.51,0.3474,,0.3474,0,3221,0.0048,18.35,18.44,18.53,18.17,2026-08-17,3,False
2068.HK,Commerce & Industry,Commerce & Industry,BB,BB 中軌向上（上升趨勢）,None,0.0,0.51,0.3474,,0.3474,0,3221,0.0048,1.805,1.81,1.82,1.79,2026-08-19,3,False
2138.HK,Commerce & Industry,Commerce & Industry,BB,BB 中軌向上（上升趨勢）,None,0.0,0.51,0.3474,,0.3474,0,3221,0.0048,0.415,0.42,0.42,0.41,2026-08-19,3,False
2238.HK,Commerce & Industry,Commerce & Industry,BB,BB 中軌向上（上升趨勢）,None,0.0,0.51,0.3474,,0.3474,0,3221,0.0048,2.185,2.2,2.21,2.16,2026-08-17,3,False
2314.HK,Commerce & Industry,Commerce & Industry,BB,BB 中軌向上（上升趨勢）,None,0.0,0.51,0.3474,,0.3474,0,3221,0.0048,4.01,4.03,4.05,3.97,2026-08-19,3,False
2600.HK,Commerce & Industry,Commerce & Industry,BB,BB 中軌向上（上升趨勢）,None,0.0,0.51,0.3474,,0.3474,0,3221,0.0048,8.21,8.25,8.29,8.13,2026-08-19,3,False
1038.HK,Utilities,Utilities,RSI,RSI 加速上升,None,0.0,0.5525,0.3429,0.3429,0.2565,70,4905,0.0042,64.8,65.07,65.34,64.15,2026-08-19,3,False
0823.HK,Properties,Properties,RSI,RSI 維持強勢 (50-70),None,0.0,0.51,0.339,0.339,0.2935,118,1029,-0.0019,38.74,38.67,38.59,38.35,2026-08-19,3,False
0318.HK,Commerce & Industry,Commerce & Industry,RSI,RSI 維持強勢 (50-70),None,0.0,0.51,0.3356,,0.3356,0,3424,0.0036,0.89,0.89,0.9,0.88,2026-08-19,3,False
2096.HK,Commerce & Industry,Commerce & Industry,RSI,RSI 維持強勢 (50-70),None,0.0,0.51,0.3356,,0.3356,0,3424,0.0036,12.47,12.51,12.56,12.35,2026-08-18,3,False
0066.HK,Commerce & Industry,Commerce & Industry,MACD,MACD 金叉 (多頭區),None,0.0,0.68,0.3333,,0.3333,0,120,0.0031,33.36,33.46,33.57,33.03,2026-08-19,3,False
1299.HK,Finance,Finance,KDJ,KDJ 金叉,None,0.0,0.5525,0.3333,0.3333,0.403,6,67,0.0044,72.55,72.87,73.19,71.82,2026-08-18,3,False
2319.HK,Commerce & Industry,Commerce & Industry,RSI,RSI 上穿 50 中性線,None,0.0,0.4675,0.3333,0.3333,0.3032,6,376,-0.0067,18.29,18.17,18.04,18.11,2026-08-17,3,False
0027.HK,Commerce & Industry,Commerce & Industry,BB,價格在 BB 中軌上方,None,0.0,0.425,0.3304,0.3304,0.329,112,3918,0.0038,35.1,35.23,35.37,34.75,2026-08-19,3,False
0040.HK,Commerce & Industry,Commerce & Industry,KDJ,KDJ 金叉,None,0.0,0.5525,0.3295,,0.3295,0,437,0.0043,0.69,0.69,0.7,0.68,2026-08-18,3,False
0467.HK,Commerce & Industry,Commerce & Industry,KDJ,KDJ 金叉,None,0.0,0.5525,0.3295,,0.3295,0,437,0.0043,0.365,0.37,0.37,0.36,2026-08-17,3,False
1797.HK,Commerce & Industry,Commerce & Industry,KDJ,KDJ 金叉,None,0.0,0.5525,0.3295,,0.3295,0,437,0.0043,21.68,21.77,21.87,21.46,2026-08-17,3,False
3309.HK,Commerce & Industry,Commerce & Industry,KDJ,KDJ 金叉,None,0.0,0.5525,0.3295,,0.3295,0,437,0.0043,0.895,0.9,0.9,0.89,2026-08-18,3,False
1900.HK,Commerce & Industry,Commerce & Industry,BB,價格在 BB 中軌上方,None,0.0,0.425,0.329,,0.329,0,3918,0.0031,0.185,0.19,0.19,0.18,2026-08-17,3,False
0083.HK,Properties,Properties,KDJ,KDJ 金叉,None,0.0,0.5525,0.325,,0.325,0,80,0.0021,10.3,10.32,10.34,10.2,2026-08-19,3,False
9961.HK,Commerce & Industry,Commerce & Industry,RSI,RSI 維持強勢 (50-70),None,0.0,0.51,0.3226,0.3226,0.3356,62,3424,-0.0013,352.4,351.94,351.48,348.88,2026-08-19,3,False
1788.HK,Finance,Finance,BB,BB 中軌向上（上升趨勢）,None,0.0,0.51,0.3217,,0.3217,0,976,0.0474,2.87,3.01,3.14,2.84,2026-08-19,3,False
1109.HK,Properties,Properties,RSI,RSI 維持強勢 (50-70),None,0.0,0.51,0.3214,0.3214,0.2935,84,1029,-0.0002,34.16,34.15,34.15,33.82,2026-08-19,3,False
0006.HK,Utilities,Utilities,RSI,RSI 加速上升,None,0.0,0.5525,0.3182,0.3182,0.2565,66,4905,0.0059,60.65,61.01,61.37,60.04,2026-08-18,3,False
2688.HK,Utilities,Utilities,BB,BB 中軌向上（上升趨勢）,None,0.0,0.51,0.3115,0.3115,0.249,61,7232,0.0093,47.2,47.64,48.08,46.73,2026-08-19,3,False
0386.HK,Commerce & Industry,Commerce & Industry,RSI,RSI 上穿 50 中性線,None,0.0,0.4675,0.3,0.3,0.3032,10,376,0.0058,4.29,4.31,4.34,4.25,2026-08-17,3,False
2111.HK,Commerce & Industry,Commerce & Industry,RSI,RSI 加速上升,None,0.0,0.5525,0.2979,,0.2979,0,2269,-0.0004,2.335,2.33,2.33,2.31,2026-08-18,3,False
2638.HK,Utilities,Utilities,RSI,RSI 維持強勢 (50-70),Consolidation Breakout,0.85,1.0,0.2941,,0.2941,0,34,0.0066,6.555,6.6,6.64,6.49,2026-08-19,3,True
1928.HK,Commerce & Industry,Commerce & Industry,BB,BB 中軌向上（上升趨勢）,None,0.0,0.51,0.2931,0.2931,0.3474,58,3221,-0.0117,14.45,14.28,14.11,14.31,2026-08-19,3,False
2007.HK,Properties,Properties,BB,價格在 BB 中軌上方,None,0.0,0.425,0.2884,,0.2884,0,1158,0.0009,0.181,0.18,0.18,0.18,2026-08-17,3,False
1209.HK,Properties,Properties,KDJ,KDJ 金叉,None,0.0,0.5525,0.2857,0.2857,0.325,14,80,0.0015,40.84,40.9,40.96,40.43,2026-08-19,3,False
9988.HK,Commerce & Industry,Commerce & Industry,RSI,RSI 動能加速（強勢區）,None,0.0,0.51,0.2857,0.2857,0.33,7,609,-0.0245,126.7,123.6,120.49,125.43,2026-08-18,3,False
0001.HK,Commerce & Industry,Commerce & Industry,BB,BB 跌破下軌 (超賣),None,0.0,0.45499999999999996,0.2736,,0.2736,0,212,-0.0061,69.55,69.13,68.7,68.85,2026-08-19,3,False
1997.HK,Properties,Properties,BB,價格在 BB 中軌上方,None,0.0,0.425,0.2329,0.2329,0.2884,73,1158,-0.0029,32.28,32.19,32.09,31.96,2026-08-19,3,False
0941.HK,Commerce & Industry,Commerce & Industry,BB,BB 中軌向上（上升趨勢）,None,0.0,0.51,0.2019,0.2019,0.3474,104,3221,0.0018,82.1,82.25,82.4,81.28,2026-08-19,3,False
0002.HK,Utilities,Utilities,BB,價格在 BB 中軌上方,None,0.0,0.425,0.0964,0.0964,0.246,197,9864,0.0017,78.35,78.48,78.62,77.57,2026-08-19,3,False
