symbol,sector,subsector,indicator,signal,pattern,pattern_conf,confidence,win_rate,win_rate_stock,win_rate_sector,stock_n,sector_n,avg_return,price,tp1_price,tp2_price,sl_price,date,tier,volume_confirmed
2111.HK,Unknown,Unknown,RSI,RSI 維持超賣,None,0.0,0.385,0.8,0.8,0.2923,5,366,0.0861,2.62,2.85,3.07,2.59,2026-06-05,3,False
3309.HK,Unknown,Unknown,RSI,RSI 超賣區域 (30),None,0.0,0.5249999999999999,0.7778,0.7778,0.4167,9,84,0.0374,1.04,1.08,1.12,1.03,2026-06-05,3,False
0016.HK,Properties,Properties,BB,BB 跌破下軌 (超賣),None,0.0,0.45499999999999996,0.6,0.6,0.3922,5,51,0.0247,124.2,127.27,130.34,122.96,2026-06-03,3,False
2238.HK,Unknown,Unknown,RSI,RSI 超賣區域 (30),None,0.0,0.5249999999999999,0.4167,,0.4167,0,84,0.0144,2.51,2.55,2.58,2.48,2026-06-04,3,False
1378.HK,Commerce & Industry,Commerce & Industry,RSI,RSI 超賣區域 (30),None,0.0,0.5249999999999999,0.3889,,0.3889,0,36,0.0127,26.52,26.86,27.19,26.25,2026-06-05,3,False
0883.HK,Commerce & Industry,Commerce & Industry,MACD,MACD 金叉 (空頭區),None,0.0,0.42,0.3821,,0.3821,0,123,0.0084,27.26,27.49,27.72,26.99,2026-06-03,3,False
0002.HK,Utilities,Utilities,BB,BB 跌破下軌 (超賣),None,0.0,0.45499999999999996,0.3764,,0.3764,0,789,0.0087,73.15,73.79,74.42,72.42,2026-06-04,3,False
1999.HK,Unknown,Unknown,MACD,MACD 金叉 (空頭區),None,0.0,0.42,0.375,0.375,0.2529,8,257,0.0182,3.84,3.91,3.98,3.8,2026-06-05,3,False
0941.HK,Commerce & Industry,Commerce & Industry,BB,BB 跌破下軌 (超賣),None,0.0,0.45499999999999996,0.3654,,0.3654,0,156,0.0056,82.4,82.86,83.32,81.58,2026-06-05,3,False
2319.HK,Commerce & Industry,Commerce & Industry,BB,BB 跌破下軌 (超賣),None,0.0,0.45499999999999996,0.3636,0.3636,0.3654,11,156,0.021,15.89,16.22,16.56,15.73,2026-06-05,3,False
0012.HK,Properties,Properties,RSI,RSI 維持超賣,None,0.0,0.385,0.3333,0.3333,0.2857,6,28,0.01,27.86,28.14,28.42,27.58,2026-06-05,3,False
1299.HK,Finance,Finance,RSI,RSI 維持超賣,None,0.0,0.385,0.3202,,,0,0,0.0039,74.0,74.29,74.58,73.26,2026-06-05,3,False
0003.HK,Utilities,Utilities,RSI,RSI 維持超賣,None,0.0,0.385,0.3051,,0.3051,0,354,0.0063,6.82,6.86,6.91,6.75,2026-06-05,3,False
0006.HK,Utilities,Utilities,RSI,RSI 維持超賣,None,0.0,0.385,0.3051,,0.3051,0,354,0.0063,56.4,56.76,57.11,55.84,2026-06-05,3,False
2688.HK,Utilities,Utilities,RSI,RSI 維持超賣,None,0.0,0.385,0.3051,,0.3051,0,354,0.0063,51.75,52.08,52.4,51.23,2026-06-05,3,False
0175.HK,Commerce & Industry,Commerce & Industry,RSI,RSI 維持超賣,None,0.0,0.385,0.2976,,0.2976,0,84,0.0046,18.41,18.49,18.58,18.23,2026-06-05,3,False
1044.HK,Commerce & Industry,Commerce & Industry,RSI,RSI 維持超賣,None,0.0,0.385,0.2976,,0.2976,0,84,0.0046,24.22,24.33,24.44,23.98,2026-06-05,3,False
1177.HK,Commerce & Industry,Commerce & Industry,RSI,RSI 維持超賣,None,0.0,0.385,0.2976,,0.2976,0,84,0.0046,4.66,4.68,4.7,4.61,2026-06-05,3,False
2096.HK,Unknown,Unknown,RSI,RSI 維持超賣,None,0.0,0.385,0.2923,,0.2923,0,366,0.0062,9.87,9.93,9.99,9.77,2026-06-05,3,False
2138.HK,Unknown,Unknown,RSI,RSI 維持超賣,None,0.0,0.385,0.2923,,0.2923,0,366,0.0062,0.385,0.39,0.39,0.38,2026-06-05,3,False
0101.HK,Properties,Properties,RSI,RSI 維持超賣,None,0.0,0.385,0.2857,,0.2857,0,28,0.0155,7.85,7.97,8.09,7.77,2026-06-04,3,False
2068.HK,Unknown,Unknown,RSI,RSI 維持超賣,None,0.0,0.385,0.2857,0.2857,0.2923,7,366,0.0137,2.2,2.23,2.26,2.18,2026-06-05,3,False
2600.HK,Unknown,Unknown,MACD,MACD 金叉 (空頭區),None,0.0,0.42,0.2529,,0.2529,0,257,-0.0008,11.58,11.57,11.56,11.46,2026-06-03,3,False
0738.HK,Unknown,Unknown,RSI,RSI 維持超賣,None,0.0,0.385,0.25,0.25,0.2923,12,366,0.0132,0.29,0.29,0.3,0.29,2026-06-05,3,False
1877.HK,Unknown,Unknown,RSI,RSI 維持超賣,None,0.0,0.385,0.25,0.25,0.2923,8,366,-0.0063,17.26,17.15,17.04,17.09,2026-06-05,3,False
2313.HK,Commerce & Industry,Commerce & Industry,BB,BB 跌破下軌 (超賣),None,0.0,0.45499999999999996,0.2,0.2,0.3654,5,156,-0.0052,43.74,43.51,43.29,43.3,2026-06-05,3,False
1038.HK,Utilities,Utilities,RSI,RSI 維持超賣,None,0.0,0.385,0.1429,0.1429,0.3051,7,354,0.0003,56.65,56.67,56.68,56.08,2026-06-05,3,False
0570.HK,Unknown,Unknown,MACD,MACD 金叉 (空頭區),None,0.0,0.42,0.1,0.1,0.2529,10,257,-0.0123,1.56,1.54,1.52,1.54,2026-06-05,3,False
