symbol,sector,subsector,indicator,signal,pattern,pattern_conf,confidence,win_rate,win_rate_stock,win_rate_sector,stock_n,sector_n,avg_return,price,tp1_price,tp2_price,sl_price,date,tier,volume_confirmed
TTD,Communication Services,Advertising,BB,BB 跌破下軌 (超賣),Bullish Engulfing,0.75,1.0,0.56,,0.56,0,25,0.034,19.43,20.09,20.75,19.24,2026-06-08,1,False
NVDA,Information Technology,Semiconductors,BB,BB 跌破下軌 (超賣),None,0.0,0.45499999999999996,0.8,0.8,0.3493,15,1480,0.0413,205.1,213.57,222.04,203.05,2026-06-05,3,False
LULU,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",RSI,RSI 超賣區域 (30),Support,0.8,1.0,0.75,,,0,0,0.0419,114.23,119.02,123.8,113.09,2026-06-05,3,True
CVNA,Consumer Discretionary,Automotive Retail,MACD,MACD 金叉 (空頭區),None,0.0,0.42,0.625,0.625,0.306,8,732,0.0881,69.61,75.74,81.88,68.91,2026-06-09,3,False
KKR,Financials,Asset Management & Custody Banks,MACD,MACD 金叉 (空頭區),None,0.0,0.42,0.6154,0.6154,0.3062,13,1153,-0.0034,95.84,95.51,95.19,94.88,2026-06-09,3,False
PYPL,Financials,Transaction & Payment Processing Services,RSI,RSI 維持超賣,None,0.0,0.385,0.6,0.6,0.4332,10,681,0.037,41.46,42.99,44.53,41.05,2026-06-09,3,False
CMG,Consumer Discretionary,Restaurants,KDJ,KDJ 超賣區金叉,None,0.0,0.5599999999999999,0.5714,0.5714,0.3501,7,457,0.0186,29.27,29.81,30.36,28.98,2026-06-08,3,False
JKHY,Financials,Transaction & Payment Processing Services,RSI,RSI 維持超賣,None,0.0,0.385,0.5714,0.5714,0.4332,7,681,0.0106,127.35,128.7,130.05,126.08,2026-06-09,3,False
ICE,Financials,Financial Exchanges & Data,RSI,RSI 超賣區域 (30),Bullish Engulfing,0.75,1.0,0.5,,0.5,0,10,0.0302,139.05,143.25,147.45,137.66,2026-06-08,3,False
DTE,Utilities,Multi-Utilities,MACD,MACD 金叉 (空頭區),Morning Star,0.8,0.96,0.5,,0.5,0,8,0.015,145.77,147.96,150.14,144.31,2026-06-05,3,False
