symbol,sector,subsector,indicator,signal,pattern,pattern_conf,confidence,win_rate,win_rate_stock,win_rate_sector,stock_n,sector_n,avg_return,price,tp1_price,tp2_price,sl_price,date,tier,volume_confirmed
0027.HK,Commerce & Industry,Commerce & Industry,MACD,MACD 突破 0 軸,None,0.0,0.595,0.7143,,0.7143,0,14,0.031,32.46,33.47,34.47,32.14,2026-07-16,2,True
0688.HK,Properties,Properties,RSI,RSI 上穿 50 中性線,Cup & Handle,0.85,1.0,0.6,0.6,0.4286,10,49,0.0274,13.56,13.93,14.3,13.42,2026-07-16,2,False
0318.HK,Unknown,Unknown,BB,BB 跌破下軌 (超賣),None,0.0,0.45499999999999996,0.7778,0.7778,0.3602,9,372,0.05,0.86,0.9,0.95,0.85,2026-07-17,3,False
2899.HK,Commerce & Industry,Commerce & Industry,RSI,RSI 上穿 50 中性線,None,0.0,0.4675,0.7143,0.7143,0.3032,7,376,0.0413,30.12,31.36,32.61,29.82,2026-07-20,3,False
1093.HK,Commerce & Industry,Commerce & Industry,KDJ,KDJ 金叉,None,0.0,0.5525,0.6364,0.6364,0.3295,11,437,0.0314,8.5,8.77,9.03,8.41,2026-07-20,3,False
3968.HK,Finance,Finance,RSI,RSI 維持強勢 (50-70),None,0.0,0.51,0.625,0.625,0.3169,24,1016,1.7104,48.76,132.16,215.56,48.27,2026-07-20,3,False
1929.HK,Commerce & Industry,Commerce & Industry,KDJ,KDJ 金叉,None,0.0,0.5525,0.6154,0.6154,0.3295,13,437,0.0306,12.09,12.46,12.83,11.97,2026-07-20,3,False
0669.HK,Commerce & Industry,Commerce & Industry,KDJ,KDJ 金叉,None,0.0,0.5525,0.6,0.6,0.3295,10,437,0.0349,129.6,134.12,138.65,128.3,2026-07-16,3,False
1288.HK,Unknown,Unknown,RSI,RSI 上穿 50 中性線,None,0.0,0.4675,0.5714,0.5714,0.2643,7,594,0.0244,5.61,5.75,5.88,5.55,2026-07-16,3,False
1177.HK,Commerce & Industry,Commerce & Industry,BB,BB 中軌向上（上升趨勢）,None,0.0,0.51,0.5667,0.5667,0.3474,90,3221,0.032,5.17,5.34,5.5,5.12,2026-07-20,3,False
0857.HK,Commerce & Industry,Commerce & Industry,RSI,RSI 加速上升,None,0.0,0.5525,0.5213,0.5213,0.2979,94,2269,0.0152,9.99,10.14,10.29,9.89,2026-07-20,3,False
2600.HK,Unknown,Unknown,RSI,RSI 加速上升,None,0.0,0.5525,0.5152,0.5152,0.2784,66,3247,0.0202,7.97,8.13,8.29,7.89,2026-07-20,3,False
0902.HK,Unknown,Unknown,RSI,RSI 加速上升,None,0.0,0.5525,0.5079,0.5079,0.2784,63,3247,0.0214,6.06,6.19,6.32,6.0,2026-07-20,3,False
1877.HK,Unknown,Unknown,BB,BB 中軌向上（上升趨勢）,None,0.0,0.51,0.4804,0.4804,0.3017,102,4558,0.0241,19.05,19.51,19.97,18.86,2026-07-20,3,False
0467.HK,Unknown,Unknown,KDJ,KDJ 金叉,None,0.0,0.5525,0.4667,0.4667,0.2591,15,606,0.0253,0.365,0.37,0.38,0.36,2026-07-20,3,False
0267.HK,Commerce & Industry,Commerce & Industry,RSI,RSI 加速上升,None,0.0,0.5525,0.4615,0.4615,0.2979,39,2269,0.0155,11.54,11.72,11.9,11.42,2026-07-20,3,False
0700.HK,Commerce & Industry,Commerce & Industry,RSI,RSI 動能加速（強勢區）,None,0.0,0.51,0.4545,0.4545,0.33,11,609,0.0012,477.8,478.37,478.95,473.02,2026-07-20,3,False
1766.HK,Unknown,Unknown,RSI,RSI 上穿 50 中性線,None,0.0,0.4675,0.4545,0.4545,0.2643,11,594,0.0083,4.81,4.85,4.89,4.76,2026-07-20,3,False
1378.HK,Commerce & Industry,Commerce & Industry,BB,價格在 BB 中軌上方,None,0.0,0.425,0.4503,0.4503,0.329,171,3918,0.0124,22.66,22.94,23.22,22.43,2026-07-20,3,False
1797.HK,Unknown,Unknown,RSI,RSI 加速上升,None,0.0,0.5525,0.4462,0.4462,0.2784,65,3247,0.022,23.3,23.81,24.33,23.07,2026-07-20,3,False
2269.HK,Commerce & Industry,Commerce & Industry,BB,BB 中軌向上（上升趨勢）,None,0.0,0.51,0.4375,0.4375,0.3474,80,3221,0.0038,38.26,38.41,38.55,37.88,2026-07-20,3,False
1088.HK,Commerce & Industry,Commerce & Industry,RSI,RSI 維持強勢 (50-70),None,0.0,0.51,0.4321,0.4321,0.3356,81,3424,0.0079,42.4,42.73,43.07,41.98,2026-07-17,3,False
0288.HK,Commerce & Industry,Commerce & Industry,RSI,RSI 加速上升,None,0.0,0.5525,0.4308,0.4308,0.2979,65,2269,0.0111,8.31,8.4,8.49,8.23,2026-07-20,3,False
2202.HK,Unknown,Unknown,RSI,RSI 加速上升,None,0.0,0.5525,0.4286,0.4286,0.3406,7,461,0.0307,2.51,2.59,2.66,2.48,2026-07-16,3,True
0868.HK,Commerce & Industry,Commerce & Industry,RSI,RSI 上穿 50 中性線,None,0.0,0.4675,0.4286,0.4286,0.3032,7,376,-0.0045,8.95,8.91,8.87,8.86,2026-07-16,3,False
2601.HK,Unknown,Unknown,RSI,RSI 上穿 50 中性線,None,0.0,0.4675,0.4286,0.4286,0.2643,7,594,0.0072,29.46,29.67,29.88,29.17,2026-07-20,3,False
2238.HK,Unknown,Unknown,KDJ,KDJ 金叉,None,0.0,0.5525,0.4167,0.4167,0.2591,12,606,-0.0133,2.18,2.15,2.12,2.16,2026-07-20,3,False
0939.HK,Finance,Finance,RSI,RSI 上穿 50 中性線,None,0.0,0.4675,0.4167,0.4167,0.375,12,88,0.0037,8.29,8.32,8.35,8.21,2026-07-17,3,False
