symbol,sector,subsector,indicator,signal,pattern,pattern_conf,confidence,win_rate,win_rate_stock,win_rate_sector,stock_n,sector_n,avg_return,price,tp1_price,tp2_price,sl_price,date,tier,volume_confirmed
XEL,Utilities,Multi-Utilities,MACD,MACD 金叉 (空頭區),None,0.0,0.42,0.3636,0.3636,0.2601,11,546,0.0107,79.22,80.07,80.92,78.43,2026-06-12,3,False
EQIX,Real Estate,Data Center REITs,BB,BB 跌破下軌 (超賣),None,0.0,0.45499999999999996,0.3571,0.3571,0.2555,28,947,0.0129,1038.33,1051.72,1065.12,1027.95,2026-06-10,3,False
CINF,Financials,Property & Casualty Insurance,MACD,MACD 金叉 (空頭區),None,0.0,0.42,0.3571,0.3571,0.3062,14,1153,0.004,166.43,167.1,167.76,164.77,2026-06-10,3,False
ZBRA,Information Technology,Electronic Equipment & Instruments,BB,BB 跌破下軌 (超賣),None,0.0,0.45499999999999996,0.3529,0.3529,0.3493,17,1480,0.0096,216.79,218.87,220.95,214.62,2026-06-10,3,False
UHS,Health Care,Health Care Facilities,MACD,MACD 金叉 (空頭區),None,0.0,0.42,0.3529,0.3529,0.2758,17,921,0.0186,146.05,148.77,151.48,144.59,2026-06-11,3,False
ETR,Utilities,Electric Utilities,MACD,MACD 金叉 (空頭區),None,0.0,0.42,0.35,0.35,0.2601,20,546,0.0054,110.48,111.08,111.67,109.38,2026-06-10,3,False
CIEN,Information Technology,Communications Equipment,BB,BB 跌破下軌 (超賣),None,0.0,0.45499999999999996,0.3333,0.3333,0.3493,15,1480,-0.0035,434.65,433.13,431.61,430.3,2026-06-10,3,False
COF,Financials,Consumer Finance,MACD,MACD 金叉 (空頭區),None,0.0,0.42,0.3333,0.3333,0.3062,9,1153,0.032,184.73,190.64,196.55,182.88,2026-06-12,3,False
TDY,Information Technology,Electronic Equipment & Instruments,MACD,MACD 金叉 (空頭區),None,0.0,0.42,0.3333,0.3333,0.3792,12,1039,0.0191,623.73,635.64,647.56,617.49,2026-06-11,3,False
KLAC,Information Technology,Semiconductor Materials & Equipment,RSI,RSI 超賣區域 (30),None,0.0,0.5249999999999999,0.322,,0.322,0,354,0.0021,254.54,255.07,255.61,251.99,2026-06-12,3,False
ATO,Utilities,Gas Utilities,MACD,MACD 金叉 (空頭區),None,0.0,0.42,0.3125,0.3125,0.2601,16,546,0.0005,169.96,170.04,170.13,168.26,2026-06-12,3,False
CME,Financials,Financial Exchanges & Data,MACD,MACD 金叉 (空頭區),None,0.0,0.42,0.3077,0.3077,0.3062,13,1153,0.0067,269.53,271.34,273.14,266.83,2026-06-12,3,False
EPAM,Unknown,Unknown,KDJ,KDJ 超賣區金叉,None,0.0,0.5599999999999999,0.2943,,0.2943,0,316,-0.0003,95.38,95.35,95.32,94.43,2026-06-12,3,False
JD,Unknown,Unknown,KDJ,KDJ 超賣區金叉,None,0.0,0.5599999999999999,0.2943,,0.2943,0,316,-0.0003,28.56,28.55,28.54,28.27,2026-06-12,3,False
AMP,Financials,Asset Management & Custody Banks,MACD,MACD 金叉 (空頭區),None,0.0,0.42,0.2941,0.2941,0.3062,17,1153,-0.0036,450.62,449.0,447.38,446.11,2026-06-10,3,False
PDD,Technology,EDP Services,KDJ,KDJ 超賣區金叉,None,0.0,0.5599999999999999,0.277,,,0,0,0.001,81.56,81.64,81.72,80.74,2026-06-12,3,False
AMZN,Consumer Discretionary,Broadline Retail,BB,BB 跌破下軌 (超賣),None,0.0,0.45499999999999996,0.2727,0.2727,0.2865,11,1225,0.0029,238.0,238.69,239.38,235.62,2026-06-10,3,False
CMG,Consumer Discretionary,Restaurants,MACD,MACD 金叉 (空頭區),None,0.0,0.42,0.2727,0.2727,0.306,11,732,0.014,31.25,31.69,32.12,30.94,2026-06-11,3,False
TTWO,Communication Services,Interactive Home Entertainment,KDJ,KDJ 超賣區金叉,None,0.0,0.5599999999999999,0.2669,,0.2669,0,236,-0.0009,212.08,211.89,211.7,209.96,2026-06-11,3,False
VZ,Communication Services,Integrated Telecommunication Services,MACD,MACD 金叉 (空頭區),None,0.0,0.42,0.2632,0.2632,0.3473,19,334,0.0095,48.11,48.57,49.02,47.63,2026-06-12,3,False
CTVA,Materials,Fertilizers & Agricultural Chemicals,KDJ,KDJ 超賣區金叉,None,0.0,0.5599999999999999,0.25,0.25,0.3063,8,333,-0.0039,76.14,75.84,75.55,75.38,2026-06-12,3,False
EXE,Energy,Oil & Gas Exploration & Production,KDJ,KDJ 超賣區金叉,None,0.0,0.5599999999999999,0.25,0.25,0.3344,16,326,0.0028,88.78,89.03,89.28,87.89,2026-06-12,3,False
NI,Utilities,Multi-Utilities,MACD,MACD 金叉 (空頭區),None,0.0,0.42,0.25,0.25,0.2601,12,546,0.0051,46.62,46.86,47.1,46.15,2026-06-11,3,False
TMUS,Communication Services,Wireless Telecommunication Services,MACD,MACD 金叉 (空頭區),None,0.0,0.42,0.25,0.25,0.3473,16,334,0.0005,185.82,185.91,186.01,183.96,2026-06-11,3,False
VTR,Real Estate,Health Care REITs,MACD,MACD 金叉 (空頭區),None,0.0,0.42,0.2308,0.2308,0.2429,13,560,0.0032,84.6,84.87,85.14,83.75,2026-06-12,3,False
GDDY,Information Technology,Internet Services & Infrastructure,BB,BB 跌破下軌 (超賣),None,0.0,0.45499999999999996,0.2273,0.2273,0.3493,22,1480,-0.0168,75.17,73.91,72.64,74.42,2026-06-11,3,False
NEE,Utilities,Multi-Utilities,MACD,MACD 金叉 (空頭區),None,0.0,0.42,0.2174,0.2174,0.2601,23,546,-0.0057,85.99,85.5,85.01,85.13,2026-06-12,3,False
BMY,Health Care,Pharmaceuticals,MACD,MACD 金叉 (空頭區),None,0.0,0.42,0.2105,0.2105,0.2758,19,921,-0.0046,56.9,56.64,56.38,56.33,2026-06-11,3,False
LNT,Utilities,Electric Utilities,MACD,MACD 金叉 (空頭區),None,0.0,0.42,0.2105,0.2105,0.2601,19,546,0.006,73.0,73.44,73.88,72.27,2026-06-10,3,False
PTC,Information Technology,Application Software,RSI,RSI 維持超賣,None,0.0,0.385,0.2105,0.2105,0.3539,19,907,0.001,113.68,113.79,113.91,112.54,2026-06-12,3,False
ADSK,Information Technology,Application Software,RSI,RSI 超賣區域 (30),None,0.0,0.5249999999999999,0.2,0.2,0.322,5,354,-0.0037,198.43,197.7,196.96,196.45,2026-06-12,3,False
EG,Financials,Reinsurance,MACD,MACD 金叉 (空頭區),None,0.0,0.42,0.1923,0.1923,0.3062,26,1153,-0.0,339.4,339.4,339.4,336.01,2026-06-12,3,False
DD,Materials,Specialty Chemicals,BB,BB 跌破下軌 (超賣),None,0.0,0.45499999999999996,0.1905,0.1905,0.2411,21,734,-0.0132,45.06,44.47,43.87,44.61,2026-06-10,3,False
AKAM,Information Technology,Internet Services & Infrastructure,BB,BB 跌破下軌 (超賣),None,0.0,0.45499999999999996,0.1818,0.1818,0.3493,22,1480,-0.0032,129.97,129.55,129.14,128.67,2026-06-10,3,False
META,Communication Services,Interactive Media & Services,BB,BB 跌破下軌 (超賣),None,0.0,0.45499999999999996,0.1818,0.1818,0.338,11,568,-0.0077,570.98,566.58,562.19,565.27,2026-06-10,3,False
JKHY,Financials,Transaction & Payment Processing Services,KDJ,KDJ 超賣區金叉,None,0.0,0.5599999999999999,0.1667,0.1667,0.2959,12,845,-0.0019,128.23,127.99,127.74,126.95,2026-06-12,3,False
ACGL,Financials,Property & Casualty Insurance,MACD,MACD 金叉 (空頭區),None,0.0,0.42,0.1667,0.1667,0.3062,18,1153,-0.0006,91.13,91.08,91.02,90.22,2026-06-11,3,False
SBUX,Consumer Discretionary,Restaurants,MACD,MACD 金叉 (空頭區),None,0.0,0.42,0.1579,0.1579,0.306,19,732,-0.0149,103.04,101.5,99.97,102.01,2026-06-12,3,False
KR,Consumer Staples,Food Retail,MACD,MACD 金叉 (空頭區),None,0.0,0.42,0.1538,0.1538,0.2262,13,619,-0.0051,64.46,64.13,63.8,63.82,2026-06-10,3,False
TAP,Consumer Staples,Brewers,MACD,MACD 金叉 (空頭區),None,0.0,0.42,0.1538,0.1538,0.2262,13,619,0.0035,40.9,41.04,41.19,40.49,2026-06-10,3,False
AEE,Utilities,Multi-Utilities,MACD,MACD 金叉 (空頭區),None,0.0,0.42,0.1429,0.1429,0.2601,21,546,0.0021,108.77,109.0,109.23,107.68,2026-06-10,3,False
VICI,Real Estate,Hotel & Resort REITs,MACD,MACD 金叉 (空頭區),None,0.0,0.42,0.1304,0.1304,0.2429,23,560,-0.0031,28.09,28.0,27.92,27.81,2026-06-11,3,False
TSN,Consumer Staples,Packaged Foods & Meats,KDJ,KDJ 超賣區金叉,None,0.0,0.5599999999999999,0.125,0.125,0.2098,16,672,-0.0016,57.43,57.34,57.25,56.86,2026-06-12,3,False
PEP,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,MACD,MACD 金叉 (空頭區),None,0.0,0.42,0.1,0.1,0.2262,20,619,-0.0008,144.32,144.2,144.09,142.88,2026-06-10,3,False
O,Real Estate,Retail REITs,MACD,MACD 金叉 (空頭區),None,0.0,0.42,0.0476,0.0476,0.2429,21,560,-0.0016,62.11,62.01,61.91,61.49,2026-06-10,3,False
