symbol,sector,subsector,indicator,signal,pattern,pattern_conf,confidence,win_rate,win_rate_stock,win_rate_sector,stock_n,sector_n,avg_return,price,tp1_price,tp2_price,sl_price,date,tier,volume_confirmed
SNPS,Information Technology,Software - Infrastructure,RSI,RSI 上穿 50 中性線,Morning Star,0.8,1.0,0.8571,,0.8571,0,7,0.0517,408.79,429.92,451.06,404.7,2026-08-25,1,True
CIEN,Information Technology,Communication Equipment,BB,BB 中軌向上（上升趨勢）,Morning Star,0.8,1.0,0.6842,0.6842,0.4841,19,471,0.0597,404.03,428.15,452.27,399.99,2026-08-26,1,False
P,Information Technology,Computer Hardware,RSI,RSI 維持強勢 (50-70),Morning Star,0.8,1.0,0.6111,,0.6111,0,18,0.0331,108.9,112.5,116.11,107.81,2026-08-26,1,True
MAIR,Industrials,Building Products & Equipment,BB,BB 跌破下軌 (超賣),Morning Star,0.8,1.0,0.6071,,0.6071,0,56,0.0266,24.97,25.63,26.3,24.72,2026-08-24,1,False
RTX,Industrials,Aerospace & Defense,BB,BB 跌破下軌 (超賣),Morning Star,0.8,1.0,0.6071,,0.6071,0,56,0.0266,209.22,214.79,220.35,207.13,2026-08-24,1,False
CCI,Real Estate,REIT - Specialty,RSI,RSI 上穿 50 中性線,Morning Star,0.8,0.9900000000000001,0.5833,,0.5833,0,24,0.0272,76.4,78.48,80.56,75.64,2026-08-24,1,False
ET,Energy,Oil & Gas Midstream,BB,BB 中軌向上（上升趨勢）,Morning Star,0.8,1.0,0.5571,,0.5571,0,70,0.0272,21.43,22.01,22.6,21.22,2026-08-26,1,False
FOX,Communication Services,Entertainment,BB,價格在 BB 中軌上方,Morning Star,0.8,0.924,0.7,0.7,0.3805,10,113,0.0202,61.59,62.83,64.08,60.97,2026-08-24,2,False
META,Communication Services,Internet Content & Information,RSI,RSI 加速上升,None,0.0,0.5525,0.6429,0.6429,0.4481,14,241,0.012,576.14,583.05,589.97,570.38,2026-08-26,2,True
DTM,Energy,Oil & Gas Midstream,KDJ,KDJ 金叉,None,0.0,0.5525,0.6296,,0.6296,0,27,0.0284,132.54,136.3,140.07,131.21,2026-08-26,2,True
WSM,Consumer Discretionary,Specialty Retail,RSI,RSI 維持強勢 (50-70),None,0.0,0.51,0.625,0.625,0.3861,8,360,0.105,237.43,262.36,287.29,235.06,2026-08-26,2,True
CRWD,Information Technology,Software - Infrastructure,BB,BB 中軌向上（上升趨勢）,None,0.0,0.51,0.6087,0.6087,0.4238,23,1083,0.0567,189.18,199.91,210.63,187.29,2026-08-26,2,True
DLTR,Consumer Staples,Discount Stores,RSI,RSI 維持強勢 (50-70),None,0.0,0.51,0.5556,0.5556,0.3092,9,262,0.0205,132.18,134.89,137.6,130.86,2026-08-26,2,True
HPQ,Information Technology,Computer Hardware,RSI,RSI 維持強勢 (50-70),None,0.0,0.51,0.5,0.5,0.4471,6,747,0.005,30.52,30.67,30.83,30.21,2026-08-26,2,True
RVMD,Health Care,Biotechnology,BB,價格在 BB 中軌上方,Bullish Engulfing,0.75,1.0,0.4667,,0.4667,0,15,0.0041,215.44,216.32,217.21,213.29,2026-08-26,2,True
SCHW,Financials,Capital Markets,RSI,RSI 維持強勢 (50-70),None,0.0,0.51,0.4615,0.4615,0.3448,13,609,0.0097,109.39,110.45,111.51,108.3,2026-08-26,2,True
SMTC,Information Technology,Semiconductors,KDJ,KDJ 金叉,None,0.0,0.5525,0.4606,,0.4606,0,165,0.01,140.8,142.21,143.62,139.39,2026-08-26,2,True
JAZZ,Health Care,Biotechnology,MACD,MACD 金叉 (多頭區),None,0.0,0.68,0.451,,0.451,0,51,0.0047,260.23,261.45,262.68,257.63,2026-08-25,2,True
AMT,Real Estate,REIT - Specialty,RSI,RSI 維持強勢 (50-70),Morning Star,0.8,1.0,1.0,1.0,0.4677,5,124,0.0528,178.39,187.81,197.23,176.61,2026-08-24,3,False
CMI,Industrials,Specialty Industrial Machinery,BB,BB 跌破下軌 (超賣),Support,0.9,1.0,1.0,,1.0,0,8,0.07,571.62,611.63,651.65,565.9,2026-08-24,3,False
FDX,Industrials,Integrated Freight & Logistics,RSI,RSI 維持強勢 (50-70),Bullish Engulfing,0.75,1.0,1.0,1.0,0.3881,7,335,0.0657,334.05,356.0,377.94,330.71,2026-08-24,3,False
