market,indicator,signal,direction,pattern_name,count,win_rate,avg_return
HSI,KDJ,KDJ 死叉,bearish,Double Top,137,0.2773722627737226,-0.0010040073260666942
HSI,KDJ,KDJ J 值極高 (>100),bearish,無形態,745,0.26711409395973157,-0.001303727028328226
HSI,KDJ,KDJ 死叉,bearish,Bearish Engulfing,122,0.2459016393442623,0.003231513551766545
HSI,KDJ,KDJ 死叉,bearish,Head & Shoulders,136,0.2426470588235294,0.0011131459242891078
HSI,KDJ,KDJ J 值極高 (>100),bearish,Double Top,52,0.21153846153846154,-0.011073119128975562
HSI,KDJ,KDJ J 值極高 (>100),bearish,Shooting Star,111,0.2072072072072072,-0.011632575686292565
HSI,KDJ,KDJ J 值極高 (>100),bearish,Resistance,42,0.19047619047619047,-0.018183334966489495
HSI,KDJ,KDJ J 值極高 (>100),bearish,Evening Star,73,0.1095890410958904,-0.011969424784423411
HSI,KDJ,KDJ 死叉,bearish,Resistance,58,0.08620689655172414,-0.01775360781718557
HSI,KDJ,KDJ J 值極高 (>100),bearish,Head & Shoulders,47,0.0851063829787234,-0.02171305733559758
HSI,KDJ,KDJ J 值極低 (<0),bullish,Bullish Engulfing,51,0.6078431372549019,0.02515506255607889
HSI,KDJ,KDJ 超賣區金叉,bullish,Support,44,0.5681818181818182,0.01799545713201874
HSI,KDJ,KDJ J 值極低 (<0),bullish,Morning Star,121,0.5371900826446281,0.029293072285083797
HSI,KDJ,KDJ 超賣區金叉,bullish,Morning Star,23,0.4782608695652174,0.006628855951769729
HSI,KDJ,KDJ J 值極低 (<0),bullish,Support,255,0.4588235294117647,0.008274295477089164
HSI,KDJ,KDJ J 值極低 (<0),bullish,Hammer,91,0.4065934065934066,0.016105534114366462
HSI,KDJ,KDJ 金叉,bullish,Bullish Engulfing,70,0.4,0.01213179247673373
HSI,KDJ,KDJ 金叉,bullish,Double Bottom,215,0.3953488372093023,0.01173402370775976
HSI,KDJ,KDJ J 值極低 (<0),bullish,Double Bottom,1879,0.3932943054816392,0.013076890964843199
HSI,KDJ,KDJ 超賣區金叉,bullish,Double Bottom,205,0.3902439024390244,0.006435844358735636
HSI,KDJ,KDJ 金叉,bullish,Morning Star,75,0.38666666666666666,0.0027644544624689554
HSI,KDJ,KDJ J 值極低 (<0),bullish,Bullish Harami,183,0.34972677595628415,0.003338212749600882
HSI,KDJ,KDJ 金叉,bullish,Support,39,0.3333333333333333,0.002843705293626866
HSI,KDJ,KDJ 金叉,bullish,Bullish Harami,42,0.30952380952380953,-0.0036549895132398794
HSI,KDJ,KDJ 金叉,bullish,Inverse H&S,230,0.30869565217391304,0.0031371505998162045
HSI,KDJ,KDJ 金叉,bullish,Hammer,100,0.3,-0.0020765027758562747
HSI,KDJ,KDJ J 值極低 (<0),bullish,Inverse H&S,2036,0.293713163064833,0.006213006630046204
HSI,KDJ,KDJ 超賣區金叉,bullish,無形態,397,0.2795969773299748,0.0003157693851916649
HSI,KDJ,KDJ 超賣區金叉,bullish,Inverse H&S,248,0.2782258064516129,0.006798956210197938
HSI,KDJ,KDJ J 值極低 (<0),bullish,無形態,3430,0.27346938775510204,0.0002775462367033275
HSI,KDJ,KDJ 金叉,bullish,無形態,623,0.2664526484751204,
HSI,KDJ,KDJ 超賣區金叉,bullish,Bullish Harami,30,0.2,-0.013126705446610543
HSI,MACD,MACD 死叉 (多頭區),bearish,Bearish Harami,51,0.49019607843137253,0.027624702092704238
HSI,MACD,MACD 跌破 0 軸,bearish,Bearish Harami,26,0.46153846153846156,0.022449822640520256
HSI,MACD,MACD 死叉 (空頭區),bearish,Head & Shoulders,24,0.4583333333333333,0.011651750520561952
HSI,MACD,MACD 死叉 (多頭區),bearish,Bearish Engulfing,46,0.45652173913043476,0.017090948731263444
HSI,MACD,MACD 死叉 (多頭區),bearish,Shooting Star,114,0.4473684210526316,0.022726760714192464
HSI,MACD,MACD 死叉 (空頭區),bearish,Bearish Harami,16,0.4375,0.01061926387928943
HSI,MACD,MACD 死叉 (空頭區),bearish,無形態,166,0.4036144578313253,0.016505202347248626
HSI,MACD,MACD 死叉 (多頭區),bearish,Evening Star,21,0.38095238095238093,0.010876742298052296
HSI,MACD,MACD 死叉 (多頭區),bearish,Double Top,47,0.3617021276595745,-0.000751272828564717
HSI,MACD,MACD 跌破 0 軸,bearish,無形態,330,0.3484848484848485,0.006759989788519574
HSI,MACD,MACD 死叉 (多頭區),bearish,無形態,430,0.34186046511627904,0.012623516347312066
HSI,MACD,MACD 死叉 (多頭區),bearish,Head & Shoulders,70,0.3,0.008548239707992672
HSI,MACD,MACD 跌破 0 軸,bearish,Double Top,26,0.23076923076923078,-0.010321578317812607
HSI,MACD,MACD 死叉 (空頭區),bearish,Shooting Star,22,0.22727272727272727,-0.0029168108367518615
HSI,MACD,MACD 跌破 0 軸,bearish,Head & Shoulders,42,0.21428571428571427,-0.011088203884722545
HSI,MACD,MACD 死叉 (多頭區),bearish,Resistance,35,0.17142857142857143,-0.014780849396101034
HSI,MACD,MACD 死叉 (空頭區),bearish,Double Top,23,0.08695652173913043,-0.010359254575151015
HSI,MACD,MACD 金叉 (空頭區),bullish,Support,13,0.6153846153846154,0.018837887115846698
HSI,MACD,MACD 金叉 (空頭區),bullish,Double Bottom,68,0.45588235294117646,0.0184380935549714
HSI,MACD,MACD 金叉 (多頭區),bullish,Double Bottom,97,0.44329896907216493,0.014335536839282195
HSI,MACD,MACD 金叉 (多頭區),bullish,Morning Star,13,0.38461538461538464,-0.010617743834301602
HSI,MACD,MACD 突破 0 軸,bullish,Double Bottom,67,0.373134328358209,0.007495334484156932
HSI,MACD,MACD 金叉 (多頭區),bullish,無形態,271,0.36162361623616235,0.0065381849683084055
HSI,MACD,MACD 金叉 (空頭區),bullish,Inverse H&S,119,0.35294117647058826,0.007389050299230927
HSI,MACD,MACD 突破 0 軸,bullish,Inverse H&S,77,0.33766233766233766,0.010205430574726152
HSI,MACD,MACD 金叉 (空頭區),bullish,Bullish Harami,13,0.3076923076923077,-0.017960699369126212
HSI,MACD,MACD 金叉 (空頭區),bullish,無形態,284,0.30633802816901406,0.008194531709572843
HSI,MACD,MACD 金叉 (空頭區),bullish,Hammer,23,0.30434782608695654,0.005448537252403188
