sector,signal,matched_pattern,has_pattern,volume_confirmed,count,win_rate,avg_return,improvement
Energy,BB 突破上軌 (超買),Bearish Engulfing,True,True,8,0.5,0.028961802317412497,0.27873563218390807
Energy,BB 突破上軌 (超買),Bearish Harami,True,True,6,0.0,-0.022512935249991,-0.22126436781609196
Materials,BB 跌破下軌 (超賣),Bullish Engulfing,True,True,6,0.3333333333333333,0.00983478257734268,0.09218891916439598
Materials,RSI 維持超買,None,False,True,40,0.2,-0.001156308066778933,-0.038700564971751394
Materials,RSI 維持超買,Bearish Harami,True,False,60,0.2,-0.00605123987428745,-0.038700564971751394
Materials,RSI 超賣區域 (30),Bullish Harami,True,False,12,0.25,0.001304995141704233,-0.12244897959183676
Materials,價格突破 EMA20,Hammer,True,False,11,0.18181818181818182,-0.0011183423449789036,-0.1367759224902082
Materials,RSI 維持超買,Evening Star,True,False,59,0.3898305084745763,0.014416625650736953,0.15112994350282488
Materials,KDJ 超買區死叉,Evening Star,True,False,26,0.38461538461538464,0.00824990645408463,0.22759059122695488
Materials,RSI 超買區域 (70),Shooting Star,True,False,12,0.5,0.02429034576671951,0.23895582329317266
Materials,RSI 維持超買,Resistance,True,False,7,0.8571428571428571,0.07567954265825451,0.6184422921711057
Materials,價格突破 EMA20,Bullish Harami,True,False,44,0.2727272727272727,0.006045958398364751,-0.04586683158111732
Information Technology,BB 跌破下軌 (超賣),Hammer,True,True,10,0.4,0.020246467204083185,0.05067567567567571
Information Technology,RSI 超賣區域 (30),Bullish Harami,True,True,22,0.5,0.024491193510546582,0.17796610169491528
Information Technology,RSI 超買區域 (70),Resistance,True,True,7,1.0,0.06619874506141636,0.7282728272827284
Information Technology,BB 突破上軌 (超買),Resistance,True,True,11,1.0,0.08270905800124533,0.7298501417577967
Financials,價格突破 EMA20,Bullish Engulfing,True,True,6,0.3333333333333333,0.005506864590057152,0.03492433061699651
Financials,MACD 突破 0 軸,Bullish Harami,True,False,8,0.125,-0.00939796074237317,-0.1817685589519651
Consumer Discretionary,RSI 維持超賣,Hammer,True,False,19,0.3157894736842105,0.015482391102448692,-0.054108485499462955
Consumer Discretionary,MACD 突破 0 軸,Bullish Engulfing,True,False,7,0.14285714285714285,-0.04101273567441636,-0.16717869943676394
Consumer Discretionary,BB 突破上軌 (超買),Bearish Harami,True,True,23,0.17391304347826086,-0.012407904688345912,-0.04715248009797918
Consumer Discretionary,價格突破 EMA20,Bullish Engulfing,True,False,58,0.3620689655172414,0.009057615189702611,0.05219162529774496
Consumer Discretionary,RSI 超賣區域 (30),Bullish Harami,True,False,21,0.5238095238095238,0.011103864461769166,0.18152764461489296
Consumer Discretionary,KDJ 超賣區金叉,None,False,True,37,0.40540540540540543,0.001399226968903868,0.05529599621503345
Consumer Discretionary,MACD 死叉 (空頭區),Bearish Engulfing,True,False,8,0.375,0.024637022778446722,0.10576923076923078
Consumer Discretionary,RSI 超賣區域 (30),Bullish Harami,True,True,14,0.5,0.021172561284958865,0.15771812080536912
Consumer Discretionary,RSI 維持超賣,Morning Star,True,False,35,0.5714285714285714,0.026927808630650883,0.20153061224489793
Real Estate,BB 跌破下軌 (超賣),Bullish Harami,True,False,64,0.46875,0.020799992732522362,0.21320617740232312
Real Estate,KDJ 超買區死叉,Evening Star,True,False,19,0.3157894736842105,0.006330799430223894,0.10944026733500417
Real Estate,價格突破 EMA20,Hammer,True,False,14,0.42857142857142855,0.007450504899069727,0.2030646718146718
Real Estate,EMA 死亡交叉 (20 下穿 50),Bearish Harami,True,False,6,0.16666666666666666,-0.007533634032766794,-0.04938271604938271
Real Estate,MACD 突破 0 軸,None,False,True,21,0.14285714285714285,-0.008083695581674896,-0.07160669754185964
Real Estate,RSI 維持超買,Shooting Star,True,False,43,0.2558139534883721,6.336415305578892e-05,0.05144577876138304
Real Estate,RSI 維持超賣,Bullish Harami,True,True,11,0.7272727272727273,0.03659553733247686,0.4259334415584416
Real Estate,價格跌破 EMA20,Bearish Harami,True,True,7,0.14285714285714285,-0.0004205856622578937,-0.08274715436756619
Real Estate,MACD 死叉 (空頭區),None,False,True,57,0.2982456140350877,0.00011173026851809807,0.07289350135903136
Real Estate,RSI 維持超賣,Bullish Harami,True,False,32,0.46875,0.01643808598407864,0.1674107142857143
Real Estate,MACD 金叉 (空頭區),Bullish Harami,True,False,6,0.16666666666666666,0.010355928028066622,-0.0761904761904762
Real Estate,RSI 維持超買,Shooting Star,True,True,5,0.8,0.04451076016147498,0.595631825273011
Real Estate,RSI 維持超買,Bearish Engulfing,True,False,40,0.325,0.009015677583380937,0.12063182527301095
