sector,signal,combined_count,combined_win_rate,indicator_win_rate,improvement,combo_avg_return,ind_avg_return,level,direction,pattern
Financials,BB 跌破下軌 (超賣),164,0.6182720057720058,0.3193980671142433,0.2988739386577624,0.0374187823821481,0.0025802629580945,sector,bullish,Combined
Information Technology,BB 跌破下軌 (超賣),271,0.6296516667063652,0.3783294325746404,0.2513222341317248,0.0359283456430024,0.0054068019222842,sector,bullish,Combined
Information Technology,RSI 維持超賣,217,0.545130772005772,0.3764421215640728,0.1686886504416991,0.0298245407703481,0.0013587123599654,sector,bullish,Combined
Industrials,BB 跌破下軌 (超賣),185,0.512016687016687,0.3598389792963029,0.1521777077203841,0.0274397221933609,0.0086832140045673,sector,bullish,Combined
Health Care,BB 跌破下軌 (超賣),177,0.4652118612596553,0.3527710904072384,0.1124407708524169,0.0166052891990337,0.0014665778401097,sector,bullish,Combined
