symbol,sector,signal,matched_pattern,has_pattern,volume_confirmed,count,win_rate,avg_return,improvement
ABBV,Health Care,EMA 死亡交叉 (20 下穿 50),None,False,False,7,0.0,0.0013289140435048207,0.0
ABBV,Health Care,RSI 超買區域 (70),None,False,False,13,0.0,-0.015870099476569227,0.0
ABBV,Health Care,EMA 黃金交叉 (20 上穿 50),None,False,False,6,0.0,-0.004084951864333104,0.0
ABBV,Health Care,RSI 維持超買,Bearish Engulfing,True,False,6,0.0,-0.0006039680629153005,-0.017241379310344827
ABBV,Health Care,BB 跌破下軌 (超賣),Bullish Harami,True,False,5,0.4,-0.004144893268230318,-0.0444444444444444
ABBV,Health Care,MACD 死叉 (空頭區),None,False,False,5,0.0,-0.015568449255748951,0.0
ABBV,Health Care,價格跌破 EMA20,Bearish Harami,True,False,7,0.0,-0.01238147788643992,-0.28
ABNB,Consumer Discretionary,BB 突破上軌 (超買),None,False,True,12,0.6666666666666666,0.05300400464940735,0.5376344086021505
ABNB,Consumer Discretionary,MACD 跌破 0 軸,None,False,False,13,0.46153846153846156,0.008459110235607834,0.0
ABNB,Consumer Discretionary,BB 跌破下軌 (超賣),None,False,False,23,0.4782608695652174,-0.0029005626208162103,0.0
ABNB,Consumer Discretionary,MACD 金叉 (空頭區),None,False,False,18,0.4444444444444444,0.006361904065150649,0.0
ABNB,Consumer Discretionary,MACD 死叉 (空頭區),None,False,False,7,0.42857142857142855,0.010997877819168151,0.0
ABNB,Consumer Discretionary,MACD 突破 0 軸,None,False,False,13,0.38461538461538464,0.027558341676691397,0.0
ABNB,Consumer Discretionary,BB 突破上軌 (超買),None,False,False,31,0.12903225806451613,-0.018417290002716195,0.0
ABNB,Consumer Discretionary,RSI 維持超買,None,False,False,22,0.45454545454545453,0.01711620460778946,0.0
ABNB,Consumer Discretionary,價格跌破 EMA20,None,False,False,38,0.3157894736842105,0.005342145339665721,0.0
ABNB,Consumer Discretionary,價格突破 EMA20,None,False,False,38,0.34210526315789475,0.0013107205937541455,0.0
ABNB,Consumer Discretionary,EMA 黃金交叉 (20 上穿 50),None,False,False,8,0.625,0.02166939328319611,0.0
ABNB,Consumer Discretionary,BB 跌破下軌 (超賣),None,False,True,9,0.4444444444444444,-0.006986724049574071,-0.033816425120772986
ABNB,Consumer Discretionary,EMA 死亡交叉 (20 下穿 50),None,False,False,7,0.0,-0.013690420676537187,0.0
ABNB,Consumer Discretionary,RSI 維持超賣,None,False,False,9,0.6666666666666666,0.03786499166393582,0.0
ABT,Health Care,RSI 超賣區域 (30),None,False,False,11,0.2727272727272727,0.006001249321410177,0.0
ABT,Health Care,BB 跌破下軌 (超賣),None,False,False,31,0.16129032258064516,0.0009357187835985053,0.0
ABT,Health Care,RSI 維持超賣,None,False,False,20,0.35,0.0038050629435212404,0.0
ABT,Health Care,KDJ 超賣區金叉,None,False,False,13,0.07692307692307693,-0.0047436033016607015,0.0
ABT,Health Care,KDJ 超賣區金叉,Bullish Harami,True,False,5,0.4,0.030260886589804647,0.3230769230769231
ABT,Health Care,MACD 金叉 (空頭區),None,False,False,15,0.26666666666666666,-0.0006865683952316474,0.0
ABT,Health Care,BB 突破上軌 (超買),None,False,False,30,0.16666666666666666,-0.002068066627410053,0.0
ABT,Health Care,MACD 突破 0 軸,None,False,False,11,0.18181818181818182,-0.005732649542877444,0.0
ABT,Health Care,KDJ 超買區死叉,None,False,False,9,0.0,-0.013168972349621604,0.0
ABT,Health Care,MACD 跌破 0 軸,None,False,False,10,0.2,0.008519535106425188,0.0
ABT,Health Care,RSI 超賣區域 (30),None,False,True,5,0.6,0.007947298449400121,0.32727272727272727
ABT,Health Care,BB 跌破下軌 (超賣),None,False,True,13,0.38461538461538464,-0.018197583352888288,0.22332506203473948
ABT,Health Care,RSI 超買區域 (70),None,False,False,10,0.1,-0.005112562902158424,0.0
ABT,Health Care,RSI 維持超買,None,False,False,36,0.1388888888888889,-0.0035038212580436353,0.0
ABT,Health Care,MACD 死叉 (空頭區),None,False,False,8,0.25,0.0038913273289307936,0.0
ABT,Health Care,價格突破 EMA20,None,False,False,37,0.10810810810810811,-0.002711023864053308,0.0
ABT,Health Care,價格跌破 EMA20,None,False,False,32,0.125,-0.004342322446837213,0.0
ABT,Health Care,價格跌破 EMA20,None,False,True,5,0.2,-0.0022350822569115855,0.07500000000000001
ABT,Health Care,BB 突破上軌 (超買),Shooting Star,True,False,5,0.4,0.015533794697019643,0.23333333333333336
ACGL,Financials,RSI 超買區域 (70),None,False,False,10,0.1,-0.00030502543536624105,0.0
ACGL,Financials,RSI 維持超買,None,False,False,32,0.375,0.0113665196871279,0.0
ACGL,Financials,MACD 跌破 0 軸,None,False,False,10,0.2,0.0010551632001038586,0.0
ACGL,Financials,MACD 突破 0 軸,None,False,False,13,0.23076923076923078,0.0039137445812699075,0.0
ACGL,Financials,KDJ 超買區死叉,None,False,False,11,0.2727272727272727,-0.005198130903719395,0.0
ACGL,Financials,BB 突破上軌 (超買),None,False,False,41,0.17073170731707318,-0.0024745454460932256,0.0
ACGL,Financials,BB 跌破下軌 (超賣),None,False,False,20,0.2,0.006379784788974897,0.0
ACGL,Financials,MACD 金叉 (空頭區),None,False,False,18,0.16666666666666666,-0.0005754670855345939,0.0
ACGL,Financials,價格跌破 EMA20,None,False,False,37,0.1891891891891892,-0.003631524619280527,0.0
ACGL,Financials,價格突破 EMA20,None,False,False,37,0.24324324324324326,-1.7301908569946164e-06,0.0
ACGL,Financials,價格突破 EMA20,Bullish Harami,True,False,5,0.2,-0.008602776735800647,-0.043243243243243246
ACGL,Financials,EMA 死亡交叉 (20 下穿 50),None,False,False,8,0.25,0.0007314592479959522,0.0
ACGL,Financials,BB 跌破下軌 (超賣),None,False,True,7,0.42857142857142855,0.015826708495781855,0.22857142857142854
ACGL,Financials,RSI 維持超賣,None,False,False,5,0.8,0.039169197374705214,0.0
ACGL,Financials,EMA 黃金交叉 (20 上穿 50),None,False,False,8,0.25,-5.009782903435834e-05,0.0
ACGL,Financials,MACD 死叉 (空頭區),None,False,False,10,0.3,-0.0024278341596184944,0.0
ACN,Information Technology,MACD 跌破 0 軸,None,False,False,9,0.4444444444444444,0.016220621614965222,0.0
ACN,Information Technology,RSI 超賣區域 (30),None,False,True,6,0.16666666666666666,-0.0027371045971875656,0.16666666666666666
ACN,Information Technology,RSI 維持超賣,None,False,True,9,0.5555555555555556,0.022950028172377658,0.2908496732026144
ACN,Information Technology,RSI 維持超賣,None,False,False,34,0.2647058823529412,-0.0093707340170378,0.0
ACN,Information Technology,MACD 突破 0 軸,None,False,False,11,0.36363636363636365,0.014502437926822058,0.0
ACN,Information Technology,BB 跌破下軌 (超賣),None,False,False,34,0.38235294117647056,0.006237335527139247,0.0
ACN,Information Technology,MACD 金叉 (空頭區),None,False,False,18,0.2777777777777778,-0.010207084177368281,0.0
ACN,Information Technology,BB 突破上軌 (超買),None,False,False,14,0.07142857142857142,-0.008286509128961622,0.0
ACN,Information Technology,KDJ 超買區死叉,None,False,False,8,0.125,-0.009681247761139026,0.0
ACN,Information Technology,BB 突破上軌 (超買),None,False,True,5,0.2,0.004208167262130136,0.1285714285714286
ACN,Information Technology,RSI 維持超買,None,False,False,23,0.2608695652173913,0.0108748267955596,0.0
ACN,Information Technology,RSI 超買區域 (70),None,False,False,14,0.21428571428571427,0.00528557871419748,0.0
ACN,Information Technology,BB 跌破下軌 (超賣),None,False,True,15,0.3333333333333333,0.0015840805954940372,-0.04901960784313725
ACN,Information Technology,MACD 死叉 (空頭區),None,False,False,12,0.08333333333333333,-0.010752093493843299,0.0
ACN,Information Technology,價格突破 EMA20,None,False,False,31,0.25806451612903225,-0.0020029480383990587,0.0
ACN,Information Technology,價格跌破 EMA20,None,False,False,25,0.24,0.0049389888429192804,0.0
ACN,Information Technology,EMA 死亡交叉 (20 下穿 50),None,False,False,5,0.4,0.01806856294566663,0.0
ACN,Information Technology,RSI 超賣區域 (30),None,False,False,9,0.0,-0.03705061895395339,0.0
ACN,Information Technology,KDJ 超賣區金叉,None,False,False,12,0.25,-0.02124160092840617,0.0
ACN,Information Technology,BB 突破上軌 (超買),Shooting Star,True,False,5,0.2,-0.012792259335243115,0.1285714285714286
ACN,Information Technology,價格跌破 EMA20,Bearish Engulfing,True,False,5,0.2,0.00814188954849323,-0.03999999999999998
ADBE,Information Technology,BB 跌破下軌 (超賣),None,False,False,20,0.35,0.0033393842596728613,0.0
ADBE,Information Technology,MACD 跌破 0 軸,None,False,False,12,0.25,-0.008256675051259552,0.0
ADBE,Information Technology,KDJ 超賣區金叉,None,False,False,5,0.4,0.022164489676952857,0.0
ADBE,Information Technology,MACD 突破 0 軸,None,False,False,13,0.23076923076923078,0.002386727004113796,0.0
ADBE,Information Technology,KDJ 超買區死叉,None,False,False,7,0.7142857142857143,0.025981794604100543,0.0
ADBE,Information Technology,BB 跌破下軌 (超賣),None,False,True,21,0.42857142857142855,0.00612578065727458,0.07857142857142857
ADBE,Information Technology,RSI 超賣區域 (30),None,False,True,7,0.2857142857142857,0.004610627623634995,-0.11428571428571432
ADBE,Information Technology,MACD 金叉 (空頭區),None,False,False,19,0.3684210526315789,0.011133810767872206,0.0
ADBE,Information Technology,BB 突破上軌 (超買),None,False,True,6,0.3333333333333333,-0.0030043185068566237,0.09333333333333332
ADBE,Information Technology,RSI 維持超買,None,False,False,24,0.2916666666666667,0.0007518649654679547,0.0
ADBE,Information Technology,BB 突破上軌 (超買),None,False,False,25,0.24,0.0035940272504985903,0.0
ADBE,Information Technology,RSI 維持超買,Evening Star,True,False,5,0.2,-0.030076369248074098,-0.09166666666666667
ADBE,Information Technology,RSI 超買區域 (70),None,False,False,8,0.125,-0.030922277457727097,0.0
ADBE,Information Technology,價格跌破 EMA20,None,False,False,22,0.22727272727272727,0.011871413037728401,0.0
ADBE,Information Technology,價格突破 EMA20,None,False,False,33,0.3939393939393939,0.0011643016305489663,0.0
ADBE,Information Technology,價格跌破 EMA20,None,False,True,7,0.42857142857142855,0.01616002718198568,0.20129870129870128
ADBE,Information Technology,RSI 維持超賣,None,False,False,21,0.23809523809523808,0.007098478414043253,0.0
ADBE,Information Technology,EMA 死亡交叉 (20 下穿 50),None,False,False,5,0.6,0.028786108109431423,0.0
ADBE,Information Technology,RSI 維持超賣,None,False,True,5,1.0,0.03440190510478451,0.7619047619047619
ADBE,Information Technology,RSI 超賣區域 (30),None,False,False,10,0.4,-0.0008093134671877455,0.0
ADBE,Information Technology,MACD 死叉 (空頭區),None,False,False,9,0.2222222222222222,-0.01088966546470688,0.0
ADI,Information Technology,BB 突破上軌 (超買),None,False,True,9,0.3333333333333333,-0.01157629086405097,0.047619047619047616
ADI,Information Technology,RSI 維持超買,None,False,False,41,0.2926829268292683,0.009290202112071926,0.0
ADI,Information Technology,BB 突破上軌 (超買),None,False,False,35,0.2857142857142857,0.0007447058145088916,0.0
ADI,Information Technology,MACD 跌破 0 軸,None,False,False,14,0.2857142857142857,-0.005463283342992933,0.0
ADI,Information Technology,BB 跌破下軌 (超賣),None,False,False,19,0.3684210526315789,0.012033651789110708,0.0
ADI,Information Technology,MACD 金叉 (空頭區),None,False,False,16,0.4375,0.022195001454589216,0.0
ADI,Information Technology,MACD 突破 0 軸,None,False,False,12,0.16666666666666666,-0.0036221107091957035,0.0
ADI,Information Technology,BB 跌破下軌 (超賣),None,False,True,7,0.42857142857142855,0.027145051766262272,0.06015037593984962
