pattern,pattern_dir,sector,count,wins,avg_ret,win_rate,combination,description,market
Bullish Engulfing,bullish,Health Care,25,2,-0.03774086975251942,0.08,A+B+C,形態+指標+成交量,S&P 500
Evening Star,bearish,Real Estate,13,1,0.013310066680213438,0.07692307692307693,A,形態 alone,S&P 500
Hammer,bullish,Financials,1,0,-0.005540166204986155,0.0,A+B+C,形態+指標+成交量,HSI
Morning Star,bullish,Unknown,1,0,-0.05956112852664575,0.0,A+B+C,形態+指標+成交量,HSI
Bearish Engulfing,bearish,Real Estate,1,0,0.04843737316340599,0.0,A+C+D,形態+成交量+Sector,HSI
Bearish Engulfing,bearish,Real Estate,3,0,0.03120581237907687,0.0,A+B+D,形態+指標+Sector,HSI
Morning Star,bullish,Real Estate,9,0,-0.009323822551739505,0.0,A,形態 alone,S&P 500
Bullish Engulfing,bullish,Information Technology,1,0,-0.0583376355188437,0.0,A+B+C,形態+指標+成交量,HSI
Bullish Engulfing,bullish,Energy,1,0,-0.03490711915197826,0.0,A+B+C+D,完整全因子,S&P 500
Bullish Engulfing,bullish,Consumer Staples,1,0,-0.011787819253438095,0.0,A+B+C,形態+指標+成交量,HSI
Bullish Engulfing,bullish,Energy,1,0,-0.03490711915197826,0.0,A+B+C,形態+指標+成交量,S&P 500
Bullish Engulfing,bullish,Health Care,1,0,-0.06706668243083475,0.0,A+C,形態+成交量,HSI
