pattern,pattern_dir,sector,count,wins,avg_ret,win_rate,combination,description,market
Bullish Engulfing,bullish,Unknown,87,26,0.0005701167125831711,0.2988505747126437,A+B+D,形態+指標+Sector,HSI
Bearish Engulfing,bearish,Consumer Staples,104,31,-0.0033745263488115943,0.2980769230769231,A+B,形態+指標,S&P 500
Bear Flag,bearish,Information Technology,3816,1134,0.00953110491835183,0.2971698113207547,A,形態 alone,S&P 500
Bear Flag,bearish,Information Technology,3816,1134,0.00953110491835183,0.2971698113207547,A+D,形態+Sector,S&P 500
Bear Flag,bearish,Real Estate,118,35,0.0013468351472363353,0.2966101694915254,A+D,形態+Sector,HSI
Bear Flag,bearish,Real Estate,118,35,0.0013468351472363353,0.2966101694915254,A,形態 alone,HSI
Bull Flag,bullish,Unknown,253,75,0.006671013909576711,0.2964426877470356,A+C+D,形態+成交量+Sector,HSI
Bull Flag,bullish,Unknown,253,75,0.006671013909576711,0.2964426877470356,A+C,形態+成交量,HSI
Bear Flag,bearish,Real Estate,27,8,0.0014473327412795668,0.2962962962962963,A+B+C,形態+指標+成交量,S&P 500
Bull Flag,bullish,Industrials,71,21,0.0056443329131693355,0.29577464788732394,A+B+C,形態+指標+成交量,S&P 500
Bear Flag,bearish,Consumer Discretionary,2663,787,0.0004978894267600163,0.2955313556139692,A,形態 alone,S&P 500
Morning Star,bullish,Industrials,44,13,-0.012636215447058242,0.29545454545454547,A,形態 alone,S&P 500
Bullish Engulfing,bullish,Consumer Discretionary,88,26,0.00048168254914772815,0.29545454545454547,A+B,形態+指標,S&P 500
Hammer,bullish,Health Care,259,76,0.0014747373383005476,0.29343629343629346,A,形態 alone,S&P 500
Bull Flag,bullish,Utilities,474,139,0.004346767384334929,0.29324894514767935,A+B,形態+指標,S&P 500
Bull Flag,bullish,Utilities,474,139,0.004346767384334929,0.29324894514767935,A+B+D,形態+指標+Sector,S&P 500
Bearish Engulfing,bearish,Information Technology,1041,304,0.010866803494483218,0.2920268972142171,A+D,形態+Sector,S&P 500
Bearish Engulfing,bearish,Information Technology,1041,304,0.010866803494483218,0.2920268972142171,A,形態 alone,S&P 500
Bearish Engulfing,bearish,Consumer Discretionary,24,7,0.01069775839811086,0.2916666666666667,A+C,形態+成交量,S&P 500
Evening Star,bearish,Financials,83,24,0.004705116632022378,0.2891566265060241,A,形態 alone,S&P 500
Bullish Engulfing,bullish,Industrials,133,38,0.0007296139039167175,0.2857142857142857,A+B,形態+指標,S&P 500
Bull Flag,bullish,Financials,1099,314,0.0020321097677220732,0.2857142857142857,A+B,形態+指標,S&P 500
Bullish Engulfing,bullish,Consumer Staples,7,2,-0.008644976533981155,0.2857142857142857,A+B,形態+指標,HSI
Morning Star,bullish,Financials,7,2,0.006283931193704725,0.2857142857142857,A+B,形態+指標,S&P 500
Bearish Engulfing,bearish,Health Care,7,2,0.011876717966575186,0.2857142857142857,A+B+C,形態+指標+成交量,S&P 500
Hammer,bullish,Health Care,7,2,-0.017065492743892588,0.2857142857142857,A,形態 alone,HSI
Bull Flag,bullish,Utilities,2167,619,0.003752497516765609,0.28564836179049374,A+D,形態+Sector,S&P 500
Bull Flag,bullish,Utilities,2167,619,0.003752497516765609,0.28564836179049374,A,形態 alone,S&P 500
Bull Flag,bullish,Financials,4339,1234,1.4082604519330507e-05,0.2843973265729431,A,形態 alone,S&P 500
Bearish Engulfing,bearish,Energy,95,27,0.0038989280209058737,0.28421052631578947,A+B,形態+指標,S&P 500
Bearish Engulfing,bearish,Energy,95,27,0.0038989280209058737,0.28421052631578947,A+B+D,形態+指標+Sector,S&P 500
Bear Flag,bearish,Consumer Staples,74,21,0.001612336084863835,0.28378378378378377,A+C,形態+成交量,S&P 500
Bear Flag,bearish,Materials,1525,431,0.0016738293661960424,0.28262295081967215,A,形態 alone,S&P 500
Bear Flag,bearish,Health Care,949,268,0.0009752574927095653,0.28240252897787144,A+B,形態+指標,S&P 500
Evening Star,bearish,Industrials,71,20,-0.0015963834417929933,0.28169014084507044,A,形態 alone,S&P 500
Bear Flag,bearish,Energy,1176,331,0.003113268347938683,0.2814625850340136,A,形態 alone,S&P 500
Bear Flag,bearish,Energy,1176,331,0.003113268347938683,0.2814625850340136,A+D,形態+Sector,S&P 500
Evening Star,bearish,Communication Services,32,9,-0.006016173979718146,0.28125,A,形態 alone,S&P 500
Bear Flag,bearish,Information Technology,1015,285,0.014005283556975933,0.28078817733990147,A+B,形態+指標,S&P 500
Bear Flag,bearish,Information Technology,1015,285,0.014005283556975933,0.28078817733990147,A+B+D,形態+指標+Sector,S&P 500
Bull Flag,bullish,Communication Services,1240,348,6.904326981760295e-05,0.2806451612903226,A,形態 alone,S&P 500
Bear Flag,bearish,Health Care,3464,970,0.000274870200122307,0.28002309468822173,A,形態 alone,S&P 500
Bear Flag,bearish,Industrials,247,69,0.006354710111004537,0.2793522267206478,A+C,形態+成交量,S&P 500
Bearish Engulfing,bearish,Health Care,273,76,0.0012529740393505083,0.2783882783882784,A+B,形態+指標,S&P 500
Bear Flag,bearish,Consumer Staples,2099,578,5.469546494664142e-05,0.2753692234397332,A,形態 alone,S&P 500
Bear Flag,bearish,Consumer Discretionary,745,205,0.00306188275288507,0.2751677852348993,A+B,形態+指標,S&P 500
Bear Flag,bearish,Communication Services,1296,355,0.004658731086565871,0.27391975308641975,A,形態 alone,S&P 500
Bull Flag,bullish,Unknown,95,26,0.008418455033043205,0.2736842105263158,A+B+C,形態+指標+成交量,HSI
Bull Flag,bullish,Unknown,95,26,0.008418455033043205,0.2736842105263158,A+B+C+D,完整全因子,HSI
Bear Flag,bearish,Unknown,150,41,0.004345532642075883,0.2733333333333333,A+B+C+D,完整全因子,HSI
Bear Flag,bearish,Unknown,150,41,0.004345532642075883,0.2733333333333333,A+B+C,形態+指標+成交量,HSI
Bear Flag,bearish,Financials,11,3,0.023963120663217295,0.2727272727272727,A+C,形態+成交量,HSI
Hammer,bullish,Unknown,366,99,1.4801524630659576e-05,0.27049180327868855,A,形態 alone,HSI
Bearish Engulfing,bearish,Materials,122,33,0.01014063272387358,0.27049180327868855,A+B,形態+指標,S&P 500
Hammer,bullish,Unknown,366,99,1.4801524630659576e-05,0.27049180327868855,A+D,形態+Sector,HSI
Bullish Engulfing,bullish,Financials,352,95,0.00022914463842190193,0.26988636363636365,A,形態 alone,S&P 500
Bear Flag,bearish,Financials,63,17,-0.010223683734818316,0.2698412698412698,A+B+C,形態+指標+成交量,S&P 500
Bear Flag,bearish,Unknown,293,79,0.014981336006299294,0.2696245733788396,A+C+D,形態+成交量+Sector,HSI
Bear Flag,bearish,Unknown,293,79,0.014981336006299294,0.2696245733788396,A+C,形態+成交量,HSI
Bearish Engulfing,bearish,Information Technology,349,94,0.013763122751871961,0.2693409742120344,A+B+D,形態+指標+Sector,S&P 500
Bearish Engulfing,bearish,Information Technology,349,94,0.013763122751871961,0.2693409742120344,A+B,形態+指標,S&P 500
Bearish Engulfing,bearish,Health Care,873,233,0.002106730917524978,0.26689576174112256,A,形態 alone,S&P 500
Bear Flag,bearish,Energy,15,4,0.0017270018792330394,0.26666666666666666,A+B+C+D,完整全因子,S&P 500
Evening Star,bearish,Financials,30,8,0.01329929428571751,0.26666666666666666,A+B,形態+指標,S&P 500
Bear Flag,bearish,Energy,15,4,0.0017270018792330394,0.26666666666666666,A+B+C,形態+指標+成交量,S&P 500
Bearish Engulfing,bearish,Utilities,64,17,-0.001848185689742569,0.265625,A+B,形態+指標,S&P 500
Bearish Engulfing,bearish,Utilities,64,17,-0.001848185689742569,0.265625,A+B+D,形態+指標+Sector,S&P 500
Bull Flag,bullish,Consumer Staples,2137,563,0.002297709837749999,0.2634534394010295,A,形態 alone,S&P 500
Bullish Engulfing,bullish,Financials,19,5,-0.018442342644091794,0.2631578947368421,A+C,形態+成交量,S&P 500
Bear Flag,bearish,Consumer Staples,550,144,0.0027645984372911066,0.26181818181818184,A+B,形態+指標,S&P 500
Bull Flag,bullish,Real Estate,88,23,0.004236118711555163,0.26136363636363635,A+C,形態+成交量,S&P 500
Bearish Engulfing,bearish,Communication Services,111,29,0.0015828003218880502,0.26126126126126126,A+B,形態+指標,S&P 500
Bear Flag,bearish,Health Care,77,20,0.004080145374135314,0.2597402597402597,A+B+C,形態+指標+成交量,S&P 500
Bearish Engulfing,bearish,Consumer Staples,348,90,0.0015966124684384704,0.25862068965517243,A,形態 alone,S&P 500
Evening Star,bearish,Information Technology,31,8,0.003923575801668131,0.25806451612903225,A+B,形態+指標,S&P 500
Evening Star,bearish,Information Technology,31,8,0.003923575801668131,0.25806451612903225,A+B+D,形態+指標+Sector,S&P 500
Bearish Engulfing,bearish,Real Estate,229,59,-0.000594162552227347,0.2576419213973799,A,形態 alone,S&P 500
Bearish Engulfing,bearish,Financials,939,241,-0.0007608375531985618,0.2566560170394036,A,形態 alone,S&P 500
Evening Star,bearish,Information Technology,82,21,0.004155952244248746,0.25609756097560976,A,形態 alone,S&P 500
Evening Star,bearish,Information Technology,82,21,0.004155952244248746,0.25609756097560976,A+D,形態+Sector,S&P 500
Bearish Engulfing,bearish,Financials,279,71,-0.0012769815221112101,0.25448028673835127,A+B,形態+指標,S&P 500
Bull Flag,bullish,Real Estate,1973,499,0.0006107113445118503,0.25291434363912824,A,形態 alone,S&P 500
Bear Flag,bearish,Unknown,4211,1065,0.007708971973192369,0.25290904773213013,A+D,形態+Sector,HSI
Bear Flag,bearish,Unknown,4211,1065,0.007708971973192369,0.25290904773213013,A,形態 alone,HSI
Bull Flag,bullish,Communication Services,313,79,-0.0035109787199829445,0.2523961661341853,A+B,形態+指標,S&P 500
Bear Flag,bearish,Financials,4337,1087,0.001739266128442485,0.2506340788563523,A,形態 alone,S&P 500
Evening Star,bearish,Information Technology,4,1,0.035268647652514105,0.25,A+B+C+D,完整全因子,S&P 500
Morning Star,bullish,Consumer Discretionary,4,1,-0.001892010524848109,0.25,A,形態 alone,HSI
Morning Star,bullish,Industrials,16,4,-0.01707323556423839,0.25,A+B,形態+指標,S&P 500
Morning Star,bullish,Health Care,16,4,-0.021512680378121957,0.25,A+B,形態+指標,S&P 500
Bearish Engulfing,bearish,Financials,4,1,0.003636383557152037,0.25,A+B,形態+指標,HSI
Evening Star,bearish,Utilities,8,2,0.014094351181871962,0.25,A,形態 alone,S&P 500
Evening Star,bearish,Utilities,8,2,0.014094351181871962,0.25,A+D,形態+Sector,S&P 500
Hammer,bullish,Consumer Discretionary,4,1,-0.00799574967997584,0.25,A+B+C,形態+指標+成交量,S&P 500
Evening Star,bearish,Health Care,4,1,0.013680211593180296,0.25,A+C,形態+成交量,S&P 500
Evening Star,bearish,Information Technology,4,1,0.035268647652514105,0.25,A+B+C,形態+指標+成交量,S&P 500
Bear Flag,bearish,Real Estate,8,2,0.009425167043405664,0.25,A+B+C+D,完整全因子,HSI
Morning Star,bullish,Materials,12,3,0.010671103920072304,0.25,A,形態 alone,S&P 500
Evening Star,bearish,Consumer Discretionary,4,1,0.007888522288596668,0.25,A,形態 alone,HSI
Bear Flag,bearish,Real Estate,8,2,0.009425167043405664,0.25,A+B+C,形態+指標+成交量,HSI
Hammer,bullish,Communication Services,4,1,-0.009712646165191506,0.25,A+C,形態+成交量,S&P 500
Bearish Engulfing,bearish,Industrials,1229,305,0.006333517049411344,0.2481692432872254,A,形態 alone,S&P 500
Bear Flag,bearish,Utilities,89,22,0.0006306757313211471,0.24719101123595505,A+C,形態+成交量,S&P 500
Bear Flag,bearish,Utilities,89,22,0.0006306757313211471,0.24719101123595505,A+C+D,形態+成交量+Sector,S&P 500
Bearish Engulfing,bearish,Communication Services,353,87,0.004856487550387306,0.24645892351274787,A,形態 alone,S&P 500
Bear Flag,bearish,Communication Services,386,95,0.009393881165671799,0.24611398963730569,A+B,形態+指標,S&P 500
Bear Flag,bearish,Financials,188,46,0.0005926019562550017,0.24468085106382978,A+C,形態+成交量,S&P 500
Bullish Engulfing,bullish,Financials,86,21,-0.006676196941239319,0.2441860465116279,A+B,形態+指標,S&P 500
Bearish Engulfing,bearish,Utilities,213,52,0.0027280804596547907,0.24413145539906103,A+D,形態+Sector,S&P 500
Bearish Engulfing,bearish,Utilities,213,52,0.0027280804596547907,0.24413145539906103,A,形態 alone,S&P 500
Bear Flag,bearish,Financials,1220,297,0.0037863306826487063,0.24344262295081967,A+B,形態+指標,S&P 500
Bearish Engulfing,bearish,Materials,346,84,0.007660308967427103,0.24277456647398843,A,形態 alone,S&P 500
Evening Star,bearish,Unknown,103,25,0.0015201915767261774,0.24271844660194175,A,形態 alone,HSI
Evening Star,bearish,Unknown,103,25,0.0015201915767261774,0.24271844660194175,A+D,形態+Sector,HSI
Bear Flag,bearish,Industrials,4485,1086,0.005805152769546746,0.24214046822742474,A,形態 alone,S&P 500
Hammer,bullish,Unknown,83,20,-0.010723120578645861,0.24096385542168675,A+B+D,形態+指標+Sector,HSI
Hammer,bullish,Unknown,83,20,-0.010723120578645861,0.24096385542168675,A+B,形態+指標,HSI
