ticker,cnt_Ascending_Trian_bul,wr_Ascending_Trian_bul,cnt_Bear_Flag_bea,wr_Bear_Flag_bea,cnt_Bearish_Engulfi_bea,wr_Bearish_Engulfi_bea,cnt_Bearish_Harami_bea,wr_Bearish_Harami_bea,cnt_Bull_Flag_bul,wr_Bull_Flag_bul,cnt_Bullish_Engulfi_bul,wr_Bullish_Engulfi_bul,cnt_Bullish_Harami_bul,wr_Bullish_Harami_bul,cnt_Descending_Tria_bea,wr_Descending_Tria_bea,cnt_Doji_neu,wr_Doji_neu,cnt_Evening_Star_bea,wr_Evening_Star_bea,cnt_Hammer_bul,wr_Hammer_bul,cnt_Morning_Star_bul,wr_Morning_Star_bul,cnt_Resistance_bea,wr_Resistance_bea,cnt_Shooting_Star_bea,wr_Shooting_Star_bea,cnt_Support_bul,wr_Support_bul,cnt_Symmetrical_Tri_neu,wr_Symmetrical_Tri_neu
0857.HK,0,0.0,0,0.0,10,50.0,12,8.3,0,0.0,4,50.0,2,0.0,0,0.0,20,20.0,9,77.8,3,0.0,0,0.0,2,50.0,4,75.0,1,100.0,0,0.0
0868.HK,0,0.0,0,0.0,6,66.7,30,33.3,2,0.0,4,100.0,14,28.6,0,0.0,18,38.9,6,16.7,3,33.3,3,100.0,2,100.0,19,36.8,2,0.0,0,0.0
0883.HK,0,0.0,0,0.0,6,50.0,16,25.0,0,0.0,4,75.0,6,0.0,0,0.0,13,23.1,0,0.0,1,100.0,6,0.0,2,50.0,3,66.7,2,50.0,0,0.0
0889.HK,0,0.0,2,50.0,0,0.0,2,50.0,0,0.0,0,0.0,0,0.0,0,0.0,7,57.1,0,0.0,6,16.7,0,0.0,2,100.0,1,0.0,2,50.0,0,0.0
0902.HK,0,0.0,0,0.0,4,25.0,8,12.5,2,50.0,4,50.0,8,50.0,0,0.0,24,25.0,0,0.0,1,100.0,3,100.0,2,50.0,2,50.0,2,50.0,0,0.0
0912.HK,0,0.0,2,50.0,0,0.0,10,30.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0.0,0,0.0,0,0.0,0,0.0,2,0.0,0,0.0,2,0.0,2,0.0
0939.HK,0,0.0,0,0.0,6,33.3,12,8.3,0,0.0,2,0.0,6,66.7,0,0.0,10,10.0,0,0.0,0,0.0,5,0.0,2,50.0,9,0.0,2,50.0,0,0.0
0941.HK,0,0.0,0,0.0,4,25.0,6,0.0,0,0.0,0,0.0,4,0.0,0,0.0,21,19.0,6,50.0,0,0.0,6,50.0,2,0.0,1,0.0,2,50.0,0,0.0
0960.HK,0,0.0,0,0.0,18,50.0,28,57.1,2,50.0,4,0.0,16,62.5,0,0.0,20,30.0,6,66.7,1,0.0,8,62.5,2,100.0,12,58.3,2,50.0,0,0.0
0988.HK,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
0992.HK,0,0.0,0,0.0,10,50.0,38,18.4,2,50.0,4,25.0,2,0.0,0,0.0,11,9.1,9,11.1,1,0.0,3,66.7,2,50.0,16,50.0,2,100.0,0,0.0
0999.HK,0,0.0,0,0.0,10,60.0,16,62.5,0,0.0,0,0.0,6,50.0,0,0.0,7,42.9,0,0.0,0,0.0,3,100.0,2,50.0,10,50.0,2,50.0,0,0.0
1000.HK,0,0.0,0,0.0,2,50.0,2,50.0,0,0.0,2,50.0,0,0.0,0,0.0,2,0.0,0,0.0,1,100.0,0,0.0,1,0.0,2,0.0,2,100.0,0,0.0
1009.HK,0,0.0,0,0.0,2,100.0,4,25.0,2,0.0,0,0.0,2,0.0,0,0.0,6,33.3,3,33.3,2,0.0,0,0.0,2,100.0,3,33.3,2,50.0,2,0.0
1038.HK,0,0.0,0,0.0,10,0.0,26,7.7,0,0.0,4,0.0,4,50.0,0,0.0,15,13.3,9,11.1,0,0.0,3,100.0,1,0.0,7,0.0,2,50.0,0,0.0
1044.HK,0,0.0,0,0.0,10,40.0,10,10.0,0,0.0,0,0.0,4,25.0,0,0.0,15,13.3,3,100.0,3,0.0,3,100.0,2,50.0,3,33.3,2,0.0,0,0.0
1093.HK,0,0.0,2,100.0,15,73.3,16,6.2,0,0.0,2,0.0,14,35.7,0,0.0,25,40.0,0,0.0,1,0.0,6,33.3,2,50.0,11,36.4,2,0.0,0,0.0
1109.HK,0,0.0,0,0.0,8,12.5,12,8.3,2,50.0,6,33.3,8,37.5,0,0.0,26,42.3,12,50.0,0,0.0,9,44.4,2,100.0,11,27.3,2,50.0,0,0.0
1177.HK,0,0.0,0,0.0,12,33.3,20,15.0,0,0.0,2,0.0,4,50.0,0,0.0,37,24.3,6,33.3,6,50.0,0,0.0,2,50.0,14,14.3,2,50.0,0,0.0
1181.HK,0,0.0,2,50.0,2,100.0,2,50.0,0,0.0,0,0.0,2,50.0,0,0.0,5,80.0,0,0.0,0,0.0,0,0.0,2,50.0,3,0.0,1,0.0,0,0.0
1209.HK,0,0.0,0,0.0,6,100.0,24,41.7,0,0.0,8,25.0,2,100.0,0,0.0,18,38.9,9,88.9,1,0.0,3,0.0,1,0.0,14,42.9,2,50.0,0,0.0
1211.HK,0,0.0,2,0.0,16,50.0,24,45.8,0,0.0,10,60.0,6,33.3,0,0.0,38,31.6,9,44.4,0,0.0,6,100.0,1,100.0,8,50.0,2,50.0,2,0.0
1288.HK,0,0.0,0,0.0,0,0.0,16,6.2,0,0.0,0,0.0,2,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,50.0,9,22.2,2,50.0,0,0.0
1299.HK,0,0.0,0,0.0,6,50.0,14,57.1,0,0.0,0,0.0,8,62.5,0,0.0,21,42.9,9,77.8,3,66.7,9,88.9,2,50.0,17,35.3,2,50.0,0,0.0
1378.HK,0,0.0,2,100.0,0,0.0,28,21.4,0,0.0,2,100.0,8,50.0,0,0.0,25,20.0,6,16.7,2,50.0,0,0.0,2,50.0,10,40.0,2,50.0,0,0.0
1398.HK,0,0.0,0,0.0,0,0.0,16,18.8,0,0.0,0,0.0,0,0.0,0,0.0,2,0.0,0,0.0,0,0.0,0,0.0,2,100.0,6,33.3,2,50.0,0,0.0
1755.HK,0,0.0,2,0.0,2,0.0,4,0.0,0,0.0,0,0.0,4,50.0,0,0.0,8,62.5,3,0.0,2,100.0,3,33.3,0,0.0,1,0.0,1,0.0,0,0.0
1766.HK,0,0.0,0,0.0,0,0.0,8,0.0,0,0.0,2,0.0,8,12.5,0,0.0,19,15.8,3,66.7,4,0.0,6,16.7,1,0.0,6,33.3,2,100.0,0,0.0
1788.HK,0,0.0,2,50.0,4,100.0,22,31.8,0,0.0,2,50.0,16,43.8,0,0.0,25,40.0,3,100.0,1,0.0,12,33.3,1,0.0,14,28.6,1,0.0,0,0.0
1797.HK,0,0.0,0,0.0,16,31.2,4,50.0,0,0.0,6,50.0,14,21.4,0,0.0,32,43.8,3,100.0,5,60.0,12,66.7,0,0.0,5,60.0,2,50.0,0,0.0
1800.HK,0,0.0,0,0.0,0,0.0,16,6.2,0,0.0,2,0.0,0,0.0,0,0.0,10,30.0,0,0.0,2,50.0,6,16.7,2,50.0,5,20.0,1,0.0,0,0.0
1810.HK,0,0.0,0,0.0,12,41.7,8,25.0,0,0.0,10,70.0,8,25.0,0,0.0,28,35.7,15,46.7,1,0.0,3,66.7,2,100.0,6,33.3,2,50.0,2,0.0
1877.HK,0,0.0,0,0.0,16,56.2,8,50.0,0,0.0,12,58.3,12,66.7,0,0.0,38,42.1,3,100.0,4,100.0,18,50.0,2,50.0,5,60.0,2,50.0,0,0.0
1900.HK,0,0.0,0,0.0,0,0.0,4,50.0,2,0.0,0,0.0,8,25.0,0,0.0,19,42.1,3,33.3,7,28.6,0,0.0,2,100.0,3,33.3,2,50.0,0,0.0
1929.HK,0,0.0,0,0.0,8,37.5,48,27.1,0,0.0,2,100.0,8,75.0,0,0.0,16,31.2,3,0.0,3,0.0,6,100.0,1,0.0,24,33.3,2,50.0,0,0.0
1999.HK,0,0.0,0,0.0,8,37.5,30,26.7,0,0.0,2,100.0,8,37.5,0,0.0,20,45.0,0,0.0,4,25.0,3,66.7,2,50.0,11,45.5,2,0.0,2,0.0
2007.HK,0,0.0,2,0.0,2,100.0,0,0.0,0,0.0,4,100.0,2,100.0,0,0.0,45,35.6,0,0.0,2,0.0,0,0.0,2,100.0,6,50.0,2,100.0,0,0.0
2018.HK,0,0.0,0,0.0,22,40.9,20,40.0,0,0.0,10,70.0,16,50.0,2,0.0,40,20.0,15,13.3,3,0.0,12,33.3,2,50.0,6,50.0,2,100.0,0,0.0
2038.HK,0,0.0,0,0.0,14,28.6,8,25.0,2,50.0,4,75.0,10,50.0,0,0.0,49,40.8,0,0.0,4,50.0,3,100.0,2,50.0,3,33.3,2,50.0,0,0.0
2068.HK,0,0.0,0,0.0,3,100.0,14,21.4,0,0.0,6,50.0,4,50.0,0,0.0,31,29.0,6,50.0,1,100.0,6,83.3,2,50.0,5,20.0,2,50.0,0,0.0
2072.HK,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2083.HK,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2096.HK,0,0.0,2,100.0,18,72.2,20,40.0,0,0.0,6,66.7,14,57.1,0,0.0,27,29.6,6,50.0,1,100.0,9,77.8,1,100.0,9,44.4,2,50.0,0,0.0
2111.HK,2,50.0,0,0.0,0,0.0,22,18.2,0,0.0,0,0.0,2,0.0,0,0.0,13,15.4,0,0.0,3,0.0,0,0.0,2,50.0,8,50.0,2,50.0,0,0.0
2138.HK,0,0.0,0,0.0,4,75.0,0,0.0,0,0.0,2,0.0,2,0.0,0,0.0,48,43.8,0,0.0,5,20.0,6,33.3,1,100.0,5,20.0,1,0.0,0,0.0
2202.HK,0,0.0,0,0.0,10,60.0,6,33.3,0,0.0,0,0.0,16,37.5,2,50.0,24,41.7,18,38.9,3,0.0,15,73.3,2,50.0,12,41.7,2,50.0,0,0.0
2238.HK,0,0.0,2,50.0,10,70.0,14,35.7,0,0.0,2,0.0,26,46.2,0,0.0,24,37.5,15,46.7,1,0.0,12,75.0,2,100.0,9,44.4,2,50.0,0,0.0
2313.HK,0,0.0,0,0.0,4,100.0,26,30.8,0,0.0,0,0.0,9,44.4,0,0.0,19,47.4,6,66.7,2,50.0,9,66.7,0,0.0,11,18.2,2,100.0,0,0.0
2314.HK,0,0.0,0,0.0,6,66.7,26,19.2,0,0.0,0,0.0,6,50.0,0,0.0,4,25.0,0,0.0,0,0.0,0,0.0,1,0.0,15,33.3,2,0.0,0,0.0
2319.HK,0,0.0,0,0.0,14,42.9,24,25.0,0,0.0,10,50.0,10,70.0,0,0.0,22,36.4,0,0.0,2,100.0,3,33.3,2,50.0,14,35.7,2,50.0,2,50.0
2338.HK,0,0.0,0,0.0,10,40.0,36,11.1,2,50.0,0,0.0,0,0.0,0,0.0,17,11.8,0,0.0,1,0.0,0,0.0,1,0.0,8,25.0,1,100.0,0,0.0
2382.HK,0,0.0,0,0.0,24,62.5,12,33.3,0,0.0,6,66.7,14,21.4,2,50.0,35,37.1,12,33.3,3,66.7,12,41.7,2,50.0,11,27.3,2,50.0,0,0.0
2600.HK,0,0.0,2,50.0,6,33.3,28,35.7,0,0.0,4,50.0,12,58.3,0,0.0,25,16.0,0,0.0,0,0.0,6,16.7,2,50.0,15,13.3,1,0.0,0,0.0
2601.HK,0,0.0,0,0.0,10,30.0,38,28.9,0,0.0,6,100.0,6,50.0,0,0.0,24,41.7,6,16.7,4,100.0,15,66.7,2,50.0,10,40.0,1,100.0,0,0.0
2611.HK,0,0.0,0,0.0,4,25.0,36,27.8,0,0.0,0,0.0,0,0.0,0,0.0,2,50.0,0,0.0,0,0.0,3,66.7,2,50.0,26,34.6,2,50.0,0,0.0
2628.HK,0,0.0,0,0.0,14,50.0,28,21.4,2,50.0,6,66.7,10,30.0,0,0.0,15,40.0,3,66.7,0,0.0,3,66.7,2,0.0,11,36.4,2,50.0,0,0.0
2638.HK,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0.0,0,0.0,0,0.0,0,0.0,2,0.0,2,0.0,2,50.0,0,0.0
2688.HK,0,0.0,0,0.0,8,75.0,30,13.3,0,0.0,0,0.0,12,8.3,0,0.0,23,21.7,0,0.0,3,0.0,3,0.0,2,0.0,6,16.7,2,0.0,0,0.0
2698.HK,0,0.0,0,0.0,2,50.0,11,54.5,0,0.0,0,0.0,8,62.5,0,0.0,3,100.0,3,66.7,0,0.0,0,0.0,1,100.0,1,0.0,2,0.0,0,0.0
2899.HK,0,0.0,0,0.0,12,58.3,26,11.5,0,0.0,8,87.5,12,58.3,0,0.0,27,33.3,6,16.7,2,100.0,9,44.4,2,50.0,13,38.5,2,100.0,0,0.0
3309.HK,0,0.0,0,0.0,14,21.4,8,25.0,0,0.0,10,60.0,4,50.0,0,0.0,28,39.3,0,0.0,3,0.0,6,0.0,2,100.0,6,33.3,2,0.0,0,0.0
3968.HK,2,0.0,0,0.0,2,0.0,14,42.9,0,0.0,0,0.0,4,50.0,0,0.0,15,0.0,6,33.3,1,0.0,6,83.3,2,100.0,8,62.5,2,100.0,0,0.0
3988.HK,0,0.0,0,0.0,0,0.0,14,0.0,0,0.0,0,0.0,2,0.0,0,0.0,11,9.1,0,0.0,1,0.0,2,50.0,2,100.0,4,0.0,2,50.0,0,0.0
