sector,count,successes,win_rate
Unknown,2630,999,37.98479087452471
Commerce & Industry,2145,761,35.47785547785548
Properties,614,213,34.69055374592834
Finance,485,157,32.371134020618555
Utilities,287,41,14.285714285714285
