indicator,signal,direction,strategy,count,successes,win_rate,avg_return,improvement,market
BB,BB 突破上軌 (超買),bearish,✅ 複合,2578,906,0.35143522110162917,0.008311056324116498,0.110919190957294,S&P 500
BB,BB 突破上軌 (超買),bearish,⚪ 純指標,7829,1883,0.24051603014433517,-0.00602905978575667,0.0,S&P 500
BB,BB 跌破下軌 (超賣),bullish,✅ 複合,1365,796,0.5831501831501832,0.030059321939885458,0.2406224540200022,S&P 500
BB,BB 跌破下軌 (超賣),bullish,⚪ 純指標,6852,2347,0.342527729130181,0.0030821304818973616,0.0,S&P 500
EMA,EMA 死亡交叉 (20 下穿 50),bearish,✅ 複合,43,9,0.20930232558139536,0.002554826433699284,-0.08411872705018361,S&P 500
EMA,EMA 死亡交叉 (20 下穿 50),bearish,⚪ 純指標,760,223,0.29342105263157897,-0.0003911670851896535,0.0,S&P 500
EMA,EMA 黃金交叉 (20 上穿 50),bullish,✅ 複合,24,6,0.25,0.005790446096425805,-0.03732394366197184,S&P 500
EMA,EMA 黃金交叉 (20 上穿 50),bullish,⚪ 純指標,710,204,0.28732394366197184,0.0039223283137552285,0.0,S&P 500
EMA,價格突破 EMA20,bullish,✅ 複合,698,253,0.3624641833810888,0.01043363912121297,0.04550282123308619,S&P 500
EMA,價格突破 EMA20,bullish,⚪ 純指標,4581,1452,0.31696136214800263,0.004089692522590273,0.0,S&P 500
EMA,價格跌破 EMA20,bearish,✅ 複合,960,254,0.26458333333333334,-0.002065751648777072,-0.01911750776691673,S&P 500
EMA,價格跌破 EMA20,bearish,⚪ 純指標,4399,1248,0.28370084110025007,-0.00334658202610548,0.0,S&P 500
